index_x,Location,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Max_Year,Max,Mean,index_y,OBJECTID,NAME10,GEOID10,COUNTY,COUNTYFP10,POP10,MEAN_2011_2017
46,Boothbay Harbor,0,0,0,0,0,48.1,143.7,96.8,147.5,147.5,2016,147.5,58.36,46,398,Boothbay Harbor,2301506120,Lincoln,15,2165,83.37142857
47,Bowdoin,66.8,99.8,163.3,194.9,227,194.9,226.1,159.8,383.9,255.9,2016,383.9,197.24,47,426,Bowdoin,2302306260,Sagadahoc,23,3061,234.6428571
48,Bowdoinham,356.4,388.8,242.3,310.7,345.7,451.5,276.8,204.5,337.7,574.1,2017,574.1,348.85,48,427,Bowdoinham,2302306365,Sagadahoc,23,2889,357.2857143
49,Bowerbank,,,,,,,,,0,0,2016,0,0,49,412,Bowerbank,2302106400,Piscataquis,21,116,0
50,Bradford,0,,0,0,0,0,0,0,0,0,2008,0,0,50,4,Bradford,2301906575,Penobscot,19,1290,0
51,Bradley,0,,0,0,0,0,,,0,,2008,0,0,51,11,Bradley,2301906680,Penobscot,19,1492,0
52,Bremen,,0,0,0,,,,,,,2009,0,0,52,399,Bremen,2301506855,Lincoln,15,806,0
53,Brewer,0,,0,10.6,21.3,21.4,32.1,54.4,119.9,65.4,2016,119.9,36.12222222,53,12,Brewer,2301906925,Penobscot,19,9482,46.44285714
54,Bridgewater,,,,,,,0,,0,0,2014,0,0,54,61,Bridgewater,2300307065,Aroostook,3,610,0
55,Bridgton,19.2,19,19.2,115,57.8,115.7,76,115.8,57.4,210.6,2017,210.6,80.57,55,495,Bridgton,2300507170,Cumberland,5,5210,106.9
56,Brighton,0,0,0,0,0,0,0,0,0,0,2008,0,0,56,298,Brighton,2302507380,Somerset,25,70,0
57,Bristol,72.7,181.2,108.9,257.7,147.7,333,701.4,599.5,406.1,147.7,2014,701.4,295.59,57,400,Bristol,2301507485,Lincoln,15,2755,370.4428571
58,Brooklin,0,0,0,,0,,,,850.5,,2016,850.5,170.1,58,159,Brooklin,2300907800,Hancock,9,824,425.25
59,Brooks,,0,,0,,0,,,0,,2009,0,0,59,390,Brooks,2302707870,Waldo,27,1078,0
60,Brooksville,0,0,0,,0,,,,,,2008,0,0,60,160,Brooksville,2300907975,Hancock,9,934,0
61,Brownfield,,0,,,,,,0,,,2009,0,0,61,340,Brownfield,2301708150,Oxford,17,1597,0
62,Brownville,,,,,,,,,0,,2016,0,0,62,413,Brownville,2302108325,Piscataquis,21,1250,0
