index_x,Location,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Max_Year,Max,Mean,index_y,OBJECTID,NAME10,GEOID10,COUNTY,COUNTYFP10,POP10,MEAN_2011_2017
208,Hibberts,,,,,,,,,,,,,,208,233,Hibberts,2301532715,Lincoln,15,1,0
209,Highland,0,0,0,0,0,0,0,0,0,0,2008,0,0,209,310,Highland,2302532895,Somerset,25,73,0
210,Hiram,,,0,,,,,,,,2010,0,0,210,363,Hiram,2301733315,Oxford,17,1620,0
211,Hodgdon,,,,,,,0,,0,,2014,0,0,211,119,Hodgdon,2300333385,Aroostook,3,1309,0
212,Holden,0,,0,0,97.8,131.4,97.8,164,232.4,232.4,2016,232.4,106.2,212,6,Holden,2301933490,Penobscot,19,3076,136.5428571
213,Hollis,85.6,185.8,70.1,208.4,137.2,135.6,225,174.2,155.1,221.6,2014,225,159.86,213,261,Hollis,2303133665,York,31,4281,179.5857143
214,Hope,,,,,,,378.8,,379.7,,2016,379.7,379.25,214,447,Hope,2301333840,Knox,13,1536,379.25
215,Houlton,,,,,,,,,0,35.5,2017,35.5,17.75,215,120,Houlton,2300333980,Aroostook,3,6123,17.75
216,Howland,0,,0,0,0,0,0,0,,0,2008,0,0,216,7,Howland,2301934190,Penobscot,19,1241,0
217,Hudson,0,,0,0,0,,,0,0,0,2008,0,0,217,8,Hudson,2301934365,Penobscot,19,1536,0
218,Indian Island,0,,0,0,0,0,0,0,0,0,2008,0,0,,,,,,,,0
220,Industry,0,0,0,0,,0,0,0,0,,2008,0,0,218,311,Industry,2300734820,Franklin,7,929,0
221,Island Falls,,,,,,,0,,0,0,2014,0,0,219,122,Island Falls,2300335065,Aroostook,3,837,0
222,Isle au Haut,0,0,,0,0,0,0,0,,0,2008,0,0,220,448,Isle au Haut,2301335135,Knox,13,73,0
223,Islesboro,1075.3,,,,,6642.7,,,2007.3,7846.7,2017,7846.7,4393,221,394,Islesboro,2302735240,Waldo,27,566,5498.9
224,Jackman,0,0,0,0,0,,0,0,0,0,2008,0,0,222,319,Jackman,2302535345,Somerset,25,862,0
225,Jackson,0,0,0,0,,0,,,0,0,2008,0,0,223,395,Jackson,2302735450,Waldo,27,548,0
226,Jay,20.7,20.6,20.6,41.4,20.7,103.3,,21.1,,147.8,2017,147.8,49.525,224,312,Jay,2300735625,Franklin,7,4851,66.86
227,Jefferson,78.7,121,82.4,410.7,205.4,123,407.8,162.5,402.9,241.7,2011,410.7,223.61,225,234,Jefferson,2301535695,Lincoln,15,2427,279.1428571
228,Jonesboro,,0,,0,0,0,0,0,0,0,2009,0,0,226,76,Jonesboro,2302935905,Washington,29,583,0
229,Jonesport,,0,,0,0,0,0,0,,0,2009,0,0,227,77,Jonesport,2302936010,Washington,29,1370,0
230,Kenduskeag,,,0,,0,,0,0,,0,2010,0,0,228,9,Kenduskeag,2301936325,Penobscot,19,1348,0
231,Kennebunk,288.2,231,157.4,74.3,103,75.3,174.7,65.7,66.3,75.7,2008,288.2,131.16,229,262,Kennebunk,2303136535,York,31,10798,90.71428571
232,Kennebunkport,203.6,141.5,172.7,202.2,144.8,87.1,116,201.7,117.4,58.7,2008,203.6,144.57,230,263,Kennebunkport,2303136745,York,31,3474,132.5571429
233,Kingfield,0,0,,0,0,0,0,,0,,2008,0,0,231,313,Kingfield,2300737025,Franklin,7,997,0
234,Kingman,0,,0,0,0,0,0,0,0,0,2008,0,0,232,10,Kingman,2301937075,Penobscot,19,174,0
235,Kingsbury,,,,,,,,,,,,,,233,417,Kingsbury,2302137095,Piscataquis,21,28,0
236,Kittery,320.6,231.5,200.2,95,136.9,284.7,180,189.4,146.4,135.9,2008,320.6,192.06,234,264,Kittery,2303137270,York,31,9490,166.9
237,Knox,0,0,,,0,,0,0,,,2008,0,0,235,401,Knox,2302737585,Waldo,27,806,0
238,Lagrange,0,,0,0,,0,0,0,0,0,2008,0,0,236,164,Lagrange,2301937760,Penobscot,19,708,0
239,Lake View,,,,,,,,,0,0,2016,0,0,237,418,Lake View,2302137970,Piscataquis,21,89,0
240,Lakeville,0,,0,0,0,0,0,0,0,0,2008,0,0,238,165,Lakeville,2301938005,Penobscot,19,105,0
241,Lamoine,0,0,,,0,,,0,,498.1,2017,498.1,99.62,239,198,Lamoine,2300938180,Hancock,9,1602,166.0333333
242,Lebanon,17.2,133.8,66.3,65.2,208.8,195,96.2,94.8,31.2,155.9,2012,208.8,106.44,240,265,Lebanon,2303138425,York,31,6031,121.0142857
243,Lee,0,,0,0,0,0,0,0,0,0,2008,0,0,241,166,Lee,2301938530,Penobscot,19,922,0
244,Leeds,0,44.8,43,127.2,127,42.7,128.4,43.6,174.1,87,2016,174.1,81.78,242,453,Leeds,2300138565,Androscoggin,1,2326,104.2857143
245,Levant,0,,0,0,0,0,0,34,67.9,33.9,2016,67.9,15.08888889,243,167,Levant,2301938705,Penobscot,19,2851,19.4
246,Lewiston,25,30.1,21.9,19.3,33,41.3,63.3,16.6,30.2,38.4,2014,63.3,31.91,244,454,Lewiston,2300138740,Androscoggin,1,36592,34.58571429
247,Liberty,,0,0,0,,0,,,,,2009,0,0,245,402,Liberty,2302739055,Waldo,27,913,0
248,Limerick,109.6,107.2,172.9,136.1,135.2,201.9,100.1,166.1,164.3,131.4,2013,201.9,142.48,246,266,Limerick,2303139195,York,31,2892,147.8714286
249,Limestone,,,,,,,44.4,,0,0,2014,44.4,14.8,247,123,Limestone,2300339300,Aroostook,3,2314,14.8
250,Limington,282.2,159.8,188.5,132.3,185.2,236.7,260.6,101.7,352.3,176.1,2016,352.3,207.54,248,267,Limington,2303139405,York,31,3713,206.4142857
251,Lincoln,19.1,,0,38.6,0,19.6,0,0,19.9,19.9,2011,38.6,13.01111111,249,364,Lincoln,2301739422,Oxford,17,45,14
251,Lincoln,19.1,,0,38.6,0,19.6,0,0,19.9,19.9,2011,38.6,13.01111111,250,168,Lincoln,2301939475,Penobscot,19,5085,14
252,Lincoln,,,,,,,,,,,,,,249,364,Lincoln,2301739422,Oxford,17,45,0
252,Lincoln,,,,,,,,,,,,,,250,168,Lincoln,2301939475,Penobscot,19,5085,0
253,Lincolnville,0,133.2,92.4,0,184.1,91.7,136.8,277,0,224.3,2015,277,113.95,251,403,Lincolnville,2302739755,Waldo,27,2164,130.5571429
254,Linneus,,,,,,,0,,0,0,2014,0,0,252,124,Linneus,2300339965,Aroostook,3,984,0
255,Lisbon,20.5,10.9,11.1,55.7,66.5,99.9,89,78.2,122.3,133.4,2017,133.4,68.75,253,455,Lisbon,2300140035,Androscoggin,1,9009,92.14285714
256,Litchfield,115.7,84.2,165.6,27.4,54.6,136.8,82.5,54.7,162,351.1,2017,351.1,123.46,254,487,Litchfield,2301140175,Kennebec,11,3624,124.1571429
257,Littleton,,,,,,,0,,0,0,2014,0,0,255,125,Littleton,2300340595,Aroostook,3,1068,0
258,Livermore,46,0,47.7,47.8,47.6,144.3,48.3,47.9,48,48,2013,144.3,52.56,256,456,Livermore,2300140665,Androscoggin,1,2095,61.7
259,Livermore Falls,30.2,61.5,94.1,62.9,62.9,0,0,32.1,0,95.4,2017,95.4,43.91,257,457,Livermore Falls,2300140770,Androscoggin,1,3187,36.18571429
260,Long Island,,,0,,,,0,,,,2010,0,0,258,519,Long Island,2300541067,Cumberland,5,230,0
261,Louds Island,,,,,,,,,,,,,,259,235,Louds Island,2301541280,Lincoln,15,0,0
262,Lovell,0,0,,0,0,,,0,0,,2008,0,0,260,365,Lovell,2301741365,Oxford,17,1140,0
263,Lowell,0,,0,0,0,0,0,0,0,0,2008,0,0,261,169,Lowell,2301941435,Penobscot,19,358,0
264,Lubec,,0,,0,0,0,0,0,0,0,2009,0,0,262,78,Lubec,2302941610,Washington,29,1359,0
265,Ludlow,,,,,,,0,,0,0,2014,0,0,263,126,Ludlow,2300341715,Aroostook,3,404,0
266,Lyman,45.6,23.2,23,92.3,91.5,90.7,113.4,87.8,89.3,111.7,2014,113.4,76.85,264,268,Lyman,2303141750,York,31,4344,96.67142857
267,Machias,,45.6,,0,0,93.4,,193.5,,338.3,2017,338.3,111.8,265,86,Machias,2302941960,Washington,29,2221,125.04
268,Machiasport,,0,,0,,,,,0,,2009,0,0,266,87,Machiasport,2302942100,Washington,29,1119,0
269,Macwahoc,,,,,,,0,,0,0,2014,0,0,267,127,Macwahoc,2300342450,Aroostook,3,79,0
270,Madawaska,,,,,,,0,,0,0,2014,0,0,268,128,Madawaska,2300342520,Aroostook,3,4035,0
271,Madison,43.9,0,0,0,0,104.7,21.3,0,21.2,212,2017,212,40.31,269,320,Madison,2302542660,Somerset,25,4855,51.31428571
272,Magalloway,,,,,,,,,,,,,,270,366,Magalloway,2301742835,Oxford,17,46,0
273,Manchester,79,233.7,38.8,154.2,77.2,312.1,116.6,78.8,118.8,356.4,2017,356.4,156.56,271,488,Manchester,2301143080,Kennebec,11,2580,173.4428571
274,Mapleton,,,,,,,0,,0,0,2014,0,0,272,129,Mapleton,2300343255,Aroostook,3,1948,0
275,Mariaville,0,,0,0,0,0,0,,0,0,2008,0,0,273,199,Mariaville,2300943430,Hancock,9,513,0
276,Mars Hill,,,,,,,0,,0,0,2014,0,0,274,130,Mars Hill,2300343710,Aroostook,3,1493,0
277,Marshall Island,,,,,,,,,,,,,,275,200,Marshall Island,2300943475,Hancock,9,0,0
278,Marshfield,,0,,,,,0,0,,,2009,0,0,276,88,Marshfield,2302943640,Washington,29,518,0
279,Masardis,,,,,,,0,,0,0,2014,0,0,277,131,Masardis,2300343990,Aroostook,3,249,0
280,Matinicus Isle,0,0,0,0,0,,0,0,0,0,2008,0,0,278,449,Matinicus Isle,2301344165,Knox,13,74,0
281,Mattawamkeag,0,,,0,0,0,0,0,0,0,2008,0,0,279,170,Mattawamkeag,2301944270,Penobscot,19,687,0
282,Maxfield,0,,0,0,0,0,0,0,0,0,2008,0,0,280,171,Maxfield,2301944340,Penobscot,19,97,0
283,Mechanic Falls,31,,33,32.8,130.6,32.8,,33.3,,,2012,130.6,48.91666667,281,458,Mechanic Falls,2300144585,Androscoggin,1,3031,57.375
284,Meddybemps,,0,,0,0,0,0,0,0,,2009,0,0,282,89,Meddybemps,2302944760,Washington,29,157,0
285,Medford,,,,,,,,,0,0,2016,0,0,283,419,Medford,2302144830,Piscataquis,21,254,0
286,Medway,0,,0,,0,0,0,0,0,0,2008,0,0,284,172,Medway,2301945005,Penobscot,19,1349,0
287,Mercer,0,0,0,0,0,0,,,0,,2008,0,0,285,321,Mercer,2302545110,Somerset,25,664,0
288,Merrill,,,,,,,0,,0,0,2014,0,0,286,132,Merrill,2300345180,Aroostook,3,273,0
289,Mexico,0,0,74.6,0,0,0,0,0,38.4,0,2010,74.6,11.3,287,367,Mexico,2301745285,Oxford,17,2681,5.485714286
290,Milbridge,,0,,0,,0,,,543.9,,2016,543.9,135.975,288,90,Milbridge,2302945600,Washington,29,1353,181.3
291,Milford,0,,0,0,0,0,0,0,64.6,0,2016,64.6,7.177777778,289,173,Milford,2301945670,Penobscot,19,3070,9.228571429
292,Millinocket,0,,44.4,0,0,23.5,0,23.7,0,49.5,2017,49.5,15.67777778,290,174,Millinocket,2301945810,Penobscot,19,4506,13.81428571
293,Milo,,,,,,,,,0,44.1,2017,44.1,22.05,291,420,Milo,2302146020,Piscataquis,21,2340,22.05
294,Milton,0,0,0,0,0,0,0,0,0,0,2008,0,0,292,368,Milton,2301746105,Oxford,17,143,0
295,Minot,37.8,76,0,38.2,,,76.2,,151.4,113.6,2016,151.4,70.45714286,293,459,Minot,2300146160,Androscoggin,1,2607,94.85
296,Monhegan,0,0,0,,0,0,0,0,0,,2008,0,0,294,236,Monhegan,2301546335,Lincoln,15,69,0
297,Monmouth,0,24.7,97.5,120.7,169.1,122,243.3,170.6,98.4,147.5,2014,243.3,119.38,295,489,Monmouth,2301146405,Kennebec,11,4104,153.0857143
298,Monroe,0,0,0,0,,,0,,,,2008,0,0,296,404,Monroe,2302746475,Waldo,27,890,0
299,Monson,,,,,,,,,0,0,2016,0,0,297,421,Monson,2302146580,Piscataquis,21,686,0
300,Monticello,,,,,,,0,,0,0,2014,0,0,298,133,Monticello,2300346685,Aroostook,3,790,0
301,Montville,,,0,,,,,,,0,2010,0,0,299,405,Montville,2302746790,Waldo,27,1032,0
302,Moose River,0,0,0,0,0,0,0,0,0,0,2008,0,0,300,322,Moose River,2302547140,Somerset,25,218,0
303,Moro,,,,,,,,,,,,,,301,134,Moro,2300347175,Aroostook,3,38,0
304,Morrill,0,0,0,,0,,,,,,2008,0,0,302,406,Morrill,2302747245,Waldo,27,884,0
305,Moscow,0,0,0,0,0,0,0,0,0,0,2008,0,0,303,323,Moscow,2302547455,Somerset,25,512,0
306,Mount Chase,0,,0,0,0,0,0,0,0,0,2008,0,0,304,184,Mount Chase,2301947560,Penobscot,19,201,0
307,Mount Desert,46.3,0,97.4,147.9,196.6,146.5,293.3,435.6,489.7,636.6,2017,636.6,248.99,305,201,Mount Desert,2300947630,Hancock,9,2053,335.1714286
308,Mount Vernon,,,0,,,,,364.3,,,2015,364.3,182.15,306,490,Mount Vernon,2301147770,Kennebec,11,1640,364.3
309,Muscle Ridge Islands,,,,,,,,,,,,,,307,463,Muscle Ridge Islands,2301347962,Knox,13,6,0
310,Naples,27.4,131.4,51.7,103,102.3,177.6,125.6,149.9,123.8,49.5,2013,177.6,104.22,308,520,Naples,2300548085,Cumberland,5,3872,118.8142857
311,Nashville,,,,,,,,,,,,,,309,135,Nashville,2300348120,Aroostook,3,46,0
312,New Canada,,,,,,,0,,0,0,2014,0,0,310,136,New Canada,2300348575,Aroostook,3,321,0
313,New Gloucester,143.1,71.4,90.2,197.5,71.3,281.2,176.1,138.1,171.2,188.4,2013,281.2,152.85,311,521,New Gloucester,2300548820,Cumberland,5,5542,174.8285714
314,New Limerick,,,,,,,0,,0,0,2014,0,0,312,137,New Limerick,2300348960,Aroostook,3,510,0
315,New Portland,0,0,0,0,,,0,,,,2008,0,0,313,324,New Portland,2302549205,Somerset,25,718,0
316,New Sharon,0,,,,0,0,0,,0,,2008,0,0,314,314,New Sharon,2300749345,Franklin,7,1407,0
317,New Sweden,,,,,,,0,,0,0,2014,0,0,315,138,New Sweden,2300349415,Aroostook,3,602,0
318,New Vineyard,0,0,0,0,0,0,0,0,0,0,2008,0,0,316,315,New Vineyard,2300749520,Franklin,7,757,0
319,Newburgh,0,,0,0,0,,,,,,2008,0,0,317,185,Newburgh,2301948505,Penobscot,19,1551,0
320,Newcastle,,326.8,,345.6,,,,,413,354,2016,413,359.85,318,237,Newcastle,2301548645,Lincoln,15,1752,370.8666667
321,Newfield,,,,0,,,,,377.6,,2016,377.6,188.8,319,269,Newfield,2303148750,York,31,1522,188.8
322,Newport,0,,0,30.9,0,0,30.8,31.4,31.4,125.6,2017,125.6,27.78888889,320,186,Newport,2301949065,Penobscot,19,3275,35.72857143
323,Newry,,0,0,0,0,0,0,0,0,0,2009,0,0,321,369,Newry,2301749275,Oxford,17,329,0
324,Nobleboro,0,,,,364.5,363,,,,,2012,364.5,242.5,322,238,Nobleboro,2301549660,Lincoln,15,1643,363.75
325,Norridgewock,30.9,0,0,0,59.5,29.7,30,60.4,29.8,179.1,2017,179.1,41.94,323,325,Norridgewock,2302549835,Somerset,25,3367,55.5
326,North Berwick,125.6,86.6,87.4,152,130,151.8,173,151.7,128.8,64.4,2014,173,125.13,324,270,North Berwick,2303150325,York,31,4576,135.9571429
327,North Franklin,,0,0,0,0,0,0,0,0,0,2009,0,0,325,316,North Franklin,2300751400,Franklin,7,61,0
328,North Haven,0,0,0,,,,2203.9,2452.3,,1626,2015,2452.3,1047.033333,326,464,North Haven,2301351620,Knox,13,355,2094.066667
329,North Oxford,,,,,,,,,,,,,,327,370,North Oxford,2301752575,Oxford,17,24,0
330,North Penobscot,0,,0,0,0,0,0,0,0,0,2008,0,0,328,187,North Penobscot,2301952710,Penobscot,19,463,0
331,North Washington,,0,,0,0,0,0,0,0,0,2009,0,0,329,92,North Washington,2302953500,Washington,29,499,0
332,North Yarmouth,275,414,140.3,334.7,222.7,468.3,408.2,326.3,296,322.9,2013,468.3,320.84,330,522,North Yarmouth,2300553860,Cumberland,5,3565,339.8714286
333,Northeast Piscataquis,,,,,,,,,0,0,2016,0,0,331,422,Northeast Piscataquis,2302151105,Piscataquis,21,273,0
334,Northeast Somerset,0,0,0,0,0,0,0,0,0,0,2008,0,0,332,326,Northeast Somerset,2302551114,Somerset,25,390,0
335,Northfield,,0,,0,0,0,0,0,0,0,2009,0,0,333,91,Northfield,2302951375,Washington,29,148,0
336,Northport,0,,0,0,,,,,,453.1,2017,453.1,113.275,334,407,Northport,2302752845,Waldo,27,1520,226.55
337,Northwest Aroostook,,,,,,,,,,,,,,335,139,Northwest Aroostook,2300353602,Aroostook,3,10,0
460,Northwest Hancock,,,,,,,,,,,,,,336,202,Northwest Hancock,2300953620,Hancock,9,2,0
338,Northwest Piscataquis,,,,,,,,,0,0,2016,0,0,337,423,Northwest Piscataquis,2302153628,Piscataquis,21,147,0
339,Northwest Somerset,,0,0,0,0,0,0,0,0,0,2009,0,0,338,327,Northwest Somerset,2302553636,Somerset,25,62,0
340,Norway,21,0,59.8,0,40.1,161.7,182.4,40.4,80.2,200.4,2017,200.4,78.6,339,371,Norway,2301754000,Oxford,17,5014,100.7428571
341,Oakfield,,,,,,,0,,0,0,2014,0,0,340,140,Oakfield,2300354385,Aroostook,3,737,0
342,Oakland,0,0,32.1,94.9,0,94.9,111,128.1,63.6,79.5,2015,128.1,60.41,341,491,Oakland,2301154560,Kennebec,11,6240,81.71428571
343,Ogunquit,,0,0,0,,,,0,,,2009,0,0,342,271,Ogunquit,2303154980,York,31,892,0
344,Old Orchard Beach,42.5,22.8,23.2,11.6,23.2,,57.5,,23,46.1,2014,57.5,31.2375,343,272,Old Orchard Beach,2303155085,York,31,8624,32.28
345,Old Town,13.1,,12.8,0,0,13,65,52.5,26.3,39.4,2014,65,24.67777778,344,188,Old Town,2301955225,Penobscot,19,7840,28.02857143
346,Orient,,,,,,,0,,0,0,2014,0,0,345,141,Orient,2300355435,Aroostook,3,147,0
347,Orland,0,46.3,0,0,315.6,269.2,225,411,454.1,227.1,2016,454.1,194.83,346,203,Orland,2300955505,Hancock,9,2225,271.7142857
349,Orono,20.1,,9.7,0,19.3,19.7,48.7,28.9,59.3,118.5,2017,118.5,36.02222222,347,189,Orono,2301955565,Penobscot,19,10362,42.05714286
350,Orrington,0,,0,0,27.1,81.5,135.9,135.8,108.8,217.6,2017,217.6,78.52222222,348,190,Orrington,2301955680,Penobscot,19,3733,100.9571429
351,Osborn,0,0,0,0,0,0,0,0,0,0,2008,0,0,349,204,Osborn,2300955855,Hancock,9,67,0
352,Otis,0,,0,0,,0,0,0,0,,2008,0,0,350,205,Otis,2300955890,Hancock,9,672,0
353,Otisfield,,,,,0,,,,,,2012,0,0,351,372,Otisfield,2301755960,Oxford,17,1770,0
354,Owls Head,,,,441.1,,,,,451,579.9,2017,579.9,490.6666667,352,465,Owls Head,2301356135,Knox,13,1580,490.6666667
355,Oxbow,,,,,,,0,,0,0,2014,0,0,353,142,Oxbow,2300356205,Aroostook,3,66,0
356,Oxford,72.9,96.3,0,72.6,97.2,244.5,97.8,73.4,272,123.6,2016,272,115.03,354,373,Oxford,2301756310,Oxford,17,4110,140.1571429
357,Palermo,,0,0,0,0,,0,,,,2009,0,0,355,246,Palermo,2302756450,Waldo,27,1535,0
358,Palmyra,0,0,0,,,0,0,0,0,308.3,2017,308.3,38.5375,356,328,Palmyra,2302556520,Somerset,25,1986,61.66
359,Paris,61,19.5,38.6,19.5,58.7,39.4,118.4,39.5,19.5,116.8,2014,118.4,53.09,357,374,Paris,2301756625,Oxford,17,5183,58.82857143
360,Parkman,,,,,,,,,0,,2016,0,0,358,435,Parkman,2302156765,Piscataquis,21,843,0
361,Parsonsfield,0,0,0,,,0,357.9,,,,2014,357.9,71.58,359,273,Parsonsfield,2303156870,York,31,1898,178.95
362,Passadumkeag,0,,0,0,0,0,0,0,0,0,2008,0,0,360,191,Passadumkeag,2301957045,Penobscot,19,374,0
219,Passamaquoddy Indian Township,,0,,0,0,0,0,0,0,0,2009,0,0,361,93,Passamaquoddy Indian Township,2302957082,Washington,29,718,0
375,Passamaquoddy Pleasant Point,,0,,0,0,0,0,0,0,0,2009,0,0,362,94,Passamaquoddy Pleasant Point,2302957090,Washington,29,749,0
363,Patten,0,,0,0,0,0,0,0,0,,2008,0,0,363,192,Patten,2301957150,Penobscot,19,1017,0
364,Pembroke,,0,,,0,0,0,0,0,0,2009,0,0,364,95,Pembroke,2302957780,Washington,29,840,0
365,Penobscot,,,0,,,,,657.4,493.4,1151.3,2017,1151.3,575.525,365,206,Penobscot,2300957920,Hancock,9,1263,767.3666667
366,Penobscot Indian Island,,,,,,,,,,,,,,366,143,Penobscot Indian Island,2300357936,Aroostook,3,0,0
366,Penobscot Indian Island,,,,,,,,,,,,,,367,193,Penobscot Indian Island,2301957937,Penobscot,19,610,0
367,Perham,,,,,,,0,,0,0,2014,0,0,368,144,Perham,2300358060,Aroostook,3,386,0
368,Perkins,,,,,,,,,,,,,,369,429,Perkins,2302358070,Sagadahoc,23,0,0
369,Perry,,0,,0,0,0,0,0,0,0,2009,0,0,370,96,Perry,2302958165,Washington,29,889,0
370,Peru,0,,0,0,,0,0,,0,0,2008,0,0,371,375,Peru,2301758270,Oxford,17,1541,0
371,Phillips,0,,,,0,,0,0,0,0,2008,0,0,372,317,Phillips,2300758445,Franklin,7,1028,0
372,Phippsburg,318.2,274,225.6,272.9,136.1,90.7,136.7,273,490,89.1,2016,490,230.63,373,430,Phippsburg,2302358515,Sagadahoc,23,2216,212.6428571
373,Pittsfield,23.6,0,23.7,0,0,0,0,73,24.5,122.3,2017,122.3,26.71,374,329,Pittsfield,2302559005,Somerset,25,4215,31.4
374,Pittston,259.4,74.4,75,112.5,301.2,76.2,190.4,268.9,153.2,229.8,2012,301.2,174.1,375,492,Pittston,2301159110,Kennebec,11,2666,190.3142857
376,Pleasant Ridge,0,0,0,0,0,0,0,0,0,0,2008,0,0,376,330,Pleasant Ridge,2302559705,Somerset,25,93,0
377,Plymouth,0,,0,0,0,0,0,0,,,2008,0,0,377,194,Plymouth,2301959950,Penobscot,19,1380,0
378,Poland,74.7,55.7,74.4,111.5,166.7,129.2,184.6,73.4,165.9,239.6,2017,239.6,127.57,378,460,Poland,2300160020,Androscoggin,1,5376,152.9857143
379,Portage Lake,,,,,,,0,,0,0,2014,0,0,379,145,Portage Lake,2300360300,Aroostook,3,391,0
380,Porter,,0,0,,0,,0,,,,2009,0,0,380,376,Porter,2301760405,Oxford,17,1498,0
381,Portland,28.5,24.3,30.2,33.2,34.5,45,43.1,44.5,43.8,43.8,2013,45,37.09,381,523,Portland,2300560545,Cumberland,5,66194,41.12857143
382,Pownal,,526.7,,,,467.9,599.2,,718.5,,2016,718.5,578.075,382,524,Pownal,2300560685,Cumberland,5,1474,595.2
383,Prentiss,0,,0,0,0,0,0,0,0,0,2008,0,0,383,195,Prentiss,2301960790,Penobscot,19,214,0
384,Presque Isle,,,,,,,0,,0,10.9,2017,10.9,3.633333333,384,146,Presque Isle,2300360825,Aroostook,3,9692,3.633333333
385,Princeton,,0,,0,0,0,0,0,,0,2009,0,0,385,106,Princeton,2302961035,Washington,29,832,0
386,Prospect,0,0,0,0,0,,,0,,0,2008,0,0,386,247,Prospect,2302761210,Waldo,27,709,0
388,Randolph,,0,0,,0,0,,0,,0,2009,0,0,387,493,Randolph,2301161700,Kennebec,11,1772,0
389,Rangeley,0,,,,0,,0,0,0,0,2008,0,0,388,318,Rangeley,2300761875,Franklin,7,189,0
389,Rangeley,0,,,,0,,0,0,0,0,2008,0,0,389,341,Rangeley,2300761840,Franklin,7,1168,0
390,Rangeley,0,0,0,0,0,0,0,0,0,0,2008,0,0,388,318,Rangeley,2300761875,Franklin,7,189,0
390,Rangeley,0,0,0,0,0,0,0,0,0,0,2008,0,0,389,341,Rangeley,2300761840,Franklin,7,1168,0
391,Raymond,21.9,110.5,157.8,200.7,132.2,263.9,307.8,154.8,111,266.4,2014,307.8,172.7,390,525,Raymond,2300561945,Cumberland,5,4436,205.2571429
392,Readfield,195.7,193.2,115.5,191.4,115.8,423.1,192.7,347,232.3,619.4,2017,619.4,262.61,391,502,Readfield,2301162190,Kennebec,11,2598,303.1
393,Reed,,,,,,,0,,0,0,2014,0,0,392,147,Reed,2300362400,Aroostook,3,161,0
394,Richmond,58.1,147.3,88,292.9,146.3,88.4,264.5,87.5,294.6,88.4,2016,294.6,155.6,393,431,Richmond,2302362645,Sagadahoc,23,3411,180.3714286
395,Ripley,0,0,0,0,0,0,0,0,0,,2008,0,0,394,331,Ripley,2302562995,Somerset,25,488,0
396,Robbinston,,0,,0,0,0,0,0,0,,2009,0,0,395,107,Robbinston,2302963275,Washington,29,574,0
397,Rockland,176,109.9,82.2,177.5,110.3,69.2,96.1,233.8,138.9,125,2015,233.8,131.89,396,466,Rockland,2301363590,Knox,13,7297,135.8285714
398,Rockport,369,265.8,240.2,333.8,453.2,241.5,421.1,507.5,178.7,297.8,2015,507.5,330.86,397,467,Rockport,2301363660,Knox,13,3330,347.6571429
399,Rome,0,,0,,0,0,,0,,,2008,0,0,398,503,Rome,2301163835,Kennebec,11,1010,0
400,Roque Bluffs,,0,,0,0,0,0,0,0,0,2009,0,0,399,108,Roque Bluffs,2302963940,Washington,29,303,0
401,Roxbury,0,0,0,0,0,0,0,0,0,0,2008,0,0,400,377,Roxbury,2301764185,Oxford,17,369,0
402,Rumford,16.1,0,17.1,0,17.5,17.6,53.2,17.8,18.2,18.2,2014,53.2,17.57,401,378,Rumford,2301764290,Oxford,17,5841,20.35714286
403,Sabattus,41.6,102.8,20.5,41.4,121.5,101.3,80.8,41.1,81.7,163.4,2017,163.4,79.61,402,461,Sabattus,2300164570,Androscoggin,1,4876,90.17142857
404,Saco,83.9,54.5,37.9,53.5,42.8,48.1,52.8,47.6,36.7,47.2,2008,83.9,50.5,403,274,Saco,2303164675,York,31,18482,46.95714286
410,Sandy River,0,0,0,0,0,0,0,0,0,0,2008,0,0,404,342,Sandy River,2300765655,Franklin,7,133,0
411,Sanford,64.9,38.3,43.3,57.7,71.7,52.5,89.6,56.9,42.6,89.9,2017,89.9,60.74,405,275,Sanford,2303165760,York,31,20798,65.84285714
412,Sangerville,,,,,,,,,0,,2016,0,0,406,436,Sangerville,2302165865,Piscataquis,21,1343,0
413,Scarborough,74.3,47.6,26.4,36.8,52.8,52.8,72.6,40.4,72.2,61.9,2008,74.3,53.78,407,526,Scarborough,2300566145,Cumberland,5,18919,55.64285714
414,Searsmont,0,,,,,,,,414.7,,2016,414.7,207.35,408,248,Searsmont,2302766565,Waldo,27,1392,414.7
415,Searsport,37.1,37.6,114.7,0,0,38.4,115.4,106.5,188.7,264.2,2017,264.2,90.26,409,249,Searsport,2302766635,Waldo,27,2615,101.8857143
416,Sebago,,,0,,,0,,,,,2010,0,0,410,527,Sebago,2300566775,Cumberland,5,1719,0
417,Sebec,,,,,,,,,,0,2017,0,0,411,437,Sebec,2302166950,Piscataquis,21,630,0
418,Seboeis,,,,,,,,,,,,,,412,208,Seboeis,2301967160,Penobscot,19,35,0
419,Seboomook Lake,,,,,,,,,,,,,,413,333,Seboomook Lake,2302567238,Somerset,25,48,0
420,Sedgwick,,,,,,,658.4,,,733.5,2017,733.5,695.95,414,207,Sedgwick,2300967300,Hancock,9,1196,695.95
421,Shapleigh,113.7,114.1,75,111.8,148.7,37.2,111.1,256.8,145.6,145.6,2015,256.8,125.96,415,276,Shapleigh,2303167475,York,31,2668,136.6857143
