Location,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,Max_Year,Max,Mean
Kenduskeag,N/R,N/R,0.0,N/R,0.0,N/R,0.0,0.0,N/R,0.0,2010.0,0.0,0.0
Kennebunk,288.2,231.0,157.4,74.3,103.0,75.3,174.7,65.7,66.3,75.7,2008.0,288.2,131.16000000000003
Kennebunkport,203.6,141.5,172.7,202.2,144.8,87.1,116.0,201.7,117.4,58.7,2008.0,203.6,144.57
Kingfield,0.0,0.0,N/R,0.0,0.0,0.0,0.0,N/R,0.0,N/R,2008.0,0.0,0.0
Kingman Twp,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Kingsbury Plt,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Kittery,320.6,231.5,200.2,95.0,136.9,284.7,180.0,189.4,146.4,135.9,2008.0,320.6,192.06
Knox,0.0,0.0,N/R,N/R,0.0,N/R,0.0,0.0,N/R,N/R,2008.0,0.0,0.0
Lagrange,0.0,N/R,0.0,0.0,N/R,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Lake View Plt,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0.0,0.0,2016.0,0.0,0.0
Lakeville,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Lamoine,0.0,0.0,N/R,N/R,0.0,N/R,N/R,0.0,N/R,498.1,2017.0,498.1,99.62
Lebanon,17.2,133.8,66.3,65.2,208.8,195.0,96.2,94.8,31.2,155.9,2012.0,208.8,106.44000000000001
Lee,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Leeds,0.0,44.8,43.0,127.2,127.0,42.7,128.4,43.6,174.1,87.0,2016.0,174.1,81.78
Levant,0.0,N/R,0.0,0.0,0.0,0.0,0.0,34.0,67.9,33.9,2016.0,67.9,15.08888888888889
Lewiston,25.0,30.1,21.9,19.3,33.0,41.3,63.3,16.6,30.2,38.4,2014.0,63.3,31.909999999999997
Liberty,N/R,0.0,0.0,0.0,N/R,0.0,N/R,N/R,N/R,N/R,2009.0,0.0,0.0
Limerick,109.6,107.2,172.9,136.1,135.2,201.9,100.1,166.1,164.3,131.4,2013.0,201.9,142.48
Limestone,N/R,N/R,N/R,N/R,N/R,N/R,44.4,N/R,0.0,0.0,2014.0,44.4,14.799999999999999
Limington,282.2,159.8,188.5,132.3,185.2,236.7,260.6,101.7,352.3,176.1,2016.0,352.3,207.54000000000002
Lincoln,19.1,N/R,0.0,38.6,0.0,19.6,0.0,0.0,19.9,19.9,2011.0,38.6,13.011111111111113
Lincoln Plt,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Lincolnville,0.0,133.2,92.4,0.0,184.1,91.7,136.8,277.0,0.0,224.3,2015.0,277.0,113.95
Linneus,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Lisbon,20.5,10.9,11.1,55.7,66.5,99.9,89.0,78.2,122.3,133.4,2017.0,133.4,68.75
Litchfield,115.7,84.2,165.6,27.4,54.6,136.8,82.5,54.7,162.0,351.1,2017.0,351.1,123.46
Littleton,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Livermore,46.0,0.0,47.7,47.8,47.6,144.3,48.3,47.9,48.0,48.0,2013.0,144.3,52.56
Livermore Falls,30.2,61.5,94.1,62.9,62.9,0.0,0.0,32.1,0.0,95.4,2017.0,95.4,43.910000000000004
Long Island,N/R,N/R,0.0,N/R,N/R,N/R,0.0,N/R,N/R,N/R,2010.0,0.0,0.0
Louds Island,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Lovell,0.0,0.0,N/R,0.0,0.0,N/R,N/R,0.0,0.0,N/R,2008.0,0.0,0.0
Lowell,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Lubec,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
Ludlow,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Lyman,45.6,23.2,23.0,92.3,91.5,90.7,113.4,87.8,89.3,111.7,2014.0,113.4,76.85
Machias,N/R,45.6,N/R,0.0,0.0,93.4,N/R,193.5,N/R,338.3,2017.0,338.3,111.8
Machiasport,N/R,0.0,N/R,0.0,N/R,N/R,N/R,N/R,0.0,N/R,2009.0,0.0,0.0
Macwahoc Plt,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Madawaska,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Madison,43.9,0.0,0.0,0.0,0.0,104.7,21.3,0.0,21.2,212.0,2017.0,212.0,40.31
Magalloway Plt,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Manchester,79.0,233.7,38.8,154.2,77.2,312.1,116.6,78.8,118.8,356.4,2017.0,356.4,156.56
Mapleton,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Mariaville,0.0,N/R,0.0,0.0,0.0,0.0,0.0,N/R,0.0,0.0,2008.0,0.0,0.0
Mars Hill,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Marshall Island,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Marshfield,N/R,0.0,N/R,N/R,N/R,N/R,0.0,0.0,N/R,N/R,2009.0,0.0,0.0
Masardis,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Matinicus Isle Plt,0.0,0.0,0.0,0.0,0.0,N/R,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Mattawamkeag,0.0,N/R,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Maxfield,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Mechanic Falls,31.0,N/R,33.0,32.8,130.6,32.8,N/R,33.3,N/R,N/R,2012.0,130.6,48.916666666666664
Meddybemps,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,N/R,2009.0,0.0,0.0
Medford,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0.0,0.0,2016.0,0.0,0.0
Medway,0.0,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Mercer,0.0,0.0,0.0,0.0,0.0,0.0,N/R,N/R,0.0,N/R,2008.0,0.0,0.0
Merrill,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Mexico,0.0,0.0,74.6,0.0,0.0,0.0,0.0,0.0,38.4,0.0,2010.0,74.6,11.3
Milbridge,N/R,0.0,N/R,0.0,N/R,0.0,N/R,N/R,543.9,N/R,2016.0,543.9,135.975
Milford,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,64.6,0.0,2016.0,64.6,7.177777777777777
Millinocket,0.0,N/R,44.4,0.0,0.0,23.5,0.0,23.7,0.0,49.5,2017.0,49.5,15.677777777777777
Milo,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0.0,44.1,2017.0,44.1,22.05
Milton Twp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Minot,37.8,76.0,0.0,38.2,N/R,N/R,76.2,N/R,151.4,113.6,2016.0,151.4,70.45714285714287
Monhegan Island Plt,0.0,0.0,0.0,N/R,0.0,0.0,0.0,0.0,0.0,N/R,2008.0,0.0,0.0
Monmouth,0.0,24.7,97.5,120.7,169.1,122.0,243.3,170.6,98.4,147.5,2014.0,243.3,119.38
Monroe,0.0,0.0,0.0,0.0,N/R,N/R,0.0,N/R,N/R,N/R,2008.0,0.0,0.0
Monson,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0.0,0.0,2016.0,0.0,0.0
Monticello,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Montville,N/R,N/R,0.0,N/R,N/R,N/R,N/R,N/R,N/R,0.0,2010.0,0.0,0.0
Moose River,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Moro Plt,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Morrill,0.0,0.0,0.0,N/R,0.0,N/R,N/R,N/R,N/R,N/R,2008.0,0.0,0.0
Moscow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Mount Chase,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Mount Desert,46.3,0.0,97.4,147.9,196.6,146.5,293.3,435.6,489.7,636.6,2017.0,636.6,248.99
Mount Vernon,N/R,N/R,0.0,N/R,N/R,N/R,N/R,364.3,N/R,N/R,2015.0,364.3,182.15
Muscle Ridge Islands,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Naples,27.4,131.4,51.7,103.0,102.3,177.6,125.6,149.9,123.8,49.5,2013.0,177.6,104.21999999999998
Nashville Plt,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
New Canada,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
New Gloucester,143.1,71.4,90.2,197.5,71.3,281.2,176.1,138.1,171.2,188.4,2013.0,281.2,152.85000000000002
New Limerick,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
New Portland,0.0,0.0,0.0,0.0,N/R,N/R,0.0,N/R,N/R,N/R,2008.0,0.0,0.0
New Sharon,0.0,N/R,N/R,N/R,0.0,0.0,0.0,N/R,0.0,N/R,2008.0,0.0,0.0
New Sweden,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
New Vineyard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Newburgh,0.0,N/R,0.0,0.0,0.0,N/R,N/R,N/R,N/R,N/R,2008.0,0.0,0.0
Newcastle,N/R,326.8,N/R,345.6,N/R,N/R,N/R,N/R,413.0,354.0,2016.0,413.0,359.85
Newfield,N/R,N/R,N/R,0.0,N/R,N/R,N/R,N/R,377.6,N/R,2016.0,377.6,188.8
Newport,0.0,N/R,0.0,30.9,0.0,0.0,30.8,31.4,31.4,125.6,2017.0,125.6,27.788888888888888
Newry,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
Nobleboro,0.0,N/R,N/R,N/R,364.5,363.0,N/R,N/R,N/R,N/R,2012.0,364.5,242.5
Norridgewock,30.9,0.0,0.0,0.0,59.5,29.7,30.0,60.4,29.8,179.1,2017.0,179.1,41.940000000000005
North Berwick,125.6,86.6,87.4,152.0,130.0,151.8,173.0,151.7,128.8,64.4,2014.0,173.0,125.13
North Franklin,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
North Haven,0.0,0.0,0.0,N/R,N/R,N/R,2203.9,2452.3,N/R,1626.0,2015.0,2452.3,1047.0333333333335
North Oxford,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
North Penobscot,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
North Washington,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
North Yarmouth,275.0,414.0,140.3,334.7,222.7,468.3,408.2,326.3,296.0,322.9,2013.0,468.3,320.84000000000003
Northeast Piscataquis,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0.0,0.0,2016.0,0.0,0.0
Northeast Somerset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Northfield,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
Northport,0.0,N/R,0.0,0.0,N/R,N/R,N/R,N/R,N/R,453.1,2017.0,453.1,113.275
Northwest Aroostook,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Northwest Piscataquis,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0.0,0.0,2016.0,0.0,0.0
Northwest Somerset,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
Norway,21.0,0.0,59.8,0.0,40.1,161.7,182.4,40.4,80.2,200.4,2017.0,200.4,78.6
Oakfield,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Oakland,0.0,0.0,32.1,94.9,0.0,94.9,111.0,128.1,63.6,79.5,2015.0,128.1,60.410000000000004
Ogunquit,N/R,0.0,0.0,0.0,N/R,N/R,N/R,0.0,N/R,N/R,2009.0,0.0,0.0
Old Orchard Beach,42.5,22.8,23.2,11.6,23.2,N/R,57.5,N/R,23.0,46.1,2014.0,57.5,31.2375
Old Town,13.1,N/R,12.8,0.0,0.0,13.0,65.0,52.5,26.3,39.4,2014.0,65.0,24.67777777777778
Orient,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Orland,0.0,46.3,0.0,0.0,315.6,269.2,225.0,411.0,454.1,227.1,2016.0,454.1,194.82999999999998
Orneville Twp,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0.0,0.0,2016.0,0.0,0.0
Orono,20.1,N/R,9.7,0.0,19.3,19.7,48.7,28.9,59.3,118.5,2017.0,118.5,36.02222222222222
Orrington,0.0,N/R,0.0,0.0,27.1,81.5,135.9,135.8,108.8,217.6,2017.0,217.6,78.52222222222223
Osborn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Otis,0.0,N/R,0.0,0.0,N/R,0.0,0.0,0.0,0.0,N/R,2008.0,0.0,0.0
Otisfield,N/R,N/R,N/R,N/R,0.0,N/R,N/R,N/R,N/R,N/R,2012.0,0.0,0.0
Owls Head,N/R,N/R,N/R,441.1,N/R,N/R,N/R,N/R,451.0,579.9,2017.0,579.9,490.6666666666667
Oxbow Plt,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Oxford,72.9,96.3,0.0,72.6,97.2,244.5,97.8,73.4,272.0,123.6,2016.0,272.0,115.02999999999997
Palermo,N/R,0.0,0.0,0.0,0.0,N/R,0.0,N/R,N/R,N/R,2009.0,0.0,0.0
Palmyra,0.0,0.0,0.0,N/R,N/R,0.0,0.0,0.0,0.0,308.3,2017.0,308.3,38.5375
Paris,61.0,19.5,38.6,19.5,58.7,39.4,118.4,39.5,19.5,116.8,2014.0,118.4,53.089999999999996
Parkman,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,2016.0,0.0,0.0
Parsonsfield,0.0,0.0,0.0,N/R,N/R,0.0,357.9,N/R,N/R,N/R,2014.0,357.9,71.58
Passadumkeag,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Patten,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/R,2008.0,0.0,0.0
Pembroke,N/R,0.0,N/R,N/R,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
Penobscot,N/R,N/R,0.0,N/R,N/R,N/R,N/R,657.4,493.4,1151.3,2017.0,1151.3,575.525
Penobscot Indian Island,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Perham,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Perkins Twp Swan Island,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Perry,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
Peru,0.0,N/R,0.0,0.0,N/R,0.0,0.0,N/R,0.0,0.0,2008.0,0.0,0.0
Phillips,0.0,N/R,N/R,N/R,0.0,N/R,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Phippsburg,318.2,274.0,225.6,272.9,136.1,90.7,136.7,273.0,490.0,89.1,2016.0,490.0,230.62999999999997
Pittsfield,23.6,0.0,23.7,0.0,0.0,0.0,0.0,73.0,24.5,122.3,2017.0,122.3,26.71
Pittston,259.4,74.4,75.0,112.5,301.2,76.2,190.4,268.9,153.2,229.8,2012.0,301.2,174.1
Pleasant Point,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
Pleasant Ridge Plt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Plymouth,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,N/R,N/R,2008.0,0.0,0.0
Poland,74.7,55.7,74.4,111.5,166.7,129.2,184.6,73.4,165.9,239.6,2017.0,239.6,127.57000000000001
Portage Lake,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Porter,N/R,0.0,0.0,N/R,0.0,N/R,0.0,N/R,N/R,N/R,2009.0,0.0,0.0
Portland,28.5,24.3,30.2,33.2,34.5,45.0,43.1,44.5,43.8,43.8,2013.0,45.0,37.09
Pownal,N/R,526.7,N/R,N/R,N/R,467.9,599.2,N/R,718.5,N/R,2016.0,718.5,578.075
Prentiss Twp T7 R3 NBPP,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Presque Isle,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,10.9,2017.0,10.9,3.6333333333333333
Princeton,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,N/R,0.0,2009.0,0.0,0.0
Prospect,0.0,0.0,0.0,0.0,0.0,N/R,N/R,0.0,N/R,0.0,2008.0,0.0,0.0
Pukakon Twp,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Randolph,N/R,0.0,0.0,N/R,0.0,0.0,N/R,0.0,N/R,0.0,2009.0,0.0,0.0
Rangeley,0.0,N/R,N/R,N/R,0.0,N/R,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Rangeley Plt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Raymond,21.9,110.5,157.8,200.7,132.2,263.9,307.8,154.8,111.0,266.4,2014.0,307.8,172.7
Readfield,195.7,193.2,115.5,191.4,115.8,423.1,192.7,347.0,232.3,619.4,2017.0,619.4,262.61
Reed Plt,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Richmond,58.1,147.3,88.0,292.9,146.3,88.4,264.5,87.5,294.6,88.4,2016.0,294.6,155.6
Ripley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/R,2008.0,0.0,0.0
Robbinston,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,N/R,2009.0,0.0,0.0
Rockland,176.0,109.9,82.2,177.5,110.3,69.2,96.1,233.8,138.9,125.0,2015.0,233.8,131.89000000000001
Rockport,369.0,265.8,240.2,333.8,453.2,241.5,421.1,507.5,178.7,297.8,2015.0,507.5,330.86
Rome,0.0,N/R,0.0,N/R,0.0,0.0,N/R,0.0,N/R,N/R,2008.0,0.0,0.0
Roque Bluffs,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
Roxbury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Rumford,16.1,0.0,17.1,0.0,17.5,17.6,53.2,17.8,18.2,18.2,2014.0,53.2,17.57
Sabattus,41.6,102.8,20.5,41.4,121.5,101.3,80.8,41.1,81.7,163.4,2017.0,163.4,79.61
Saco,83.9,54.5,37.9,53.5,42.8,48.1,52.8,47.6,36.7,47.2,2008.0,83.9,50.5
Saint Agatha,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Saint Albans,0.0,0.0,0.0,49.5,50.0,0.0,49.9,99.5,0.0,149.6,2017.0,149.6,39.85
Saint Francis,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,N/R,2014.0,0.0,0.0
Saint George,336.3,460.5,154.4,496.0,540.7,503.9,193.5,728.5,346.3,538.7,2015.0,728.5,429.88
Saint John Plt,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Sandy River Plt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Sanford,64.9,38.3,43.3,57.7,71.7,52.5,89.6,56.9,42.6,89.9,2017.0,89.9,60.739999999999995
Sangerville,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,2016.0,0.0,0.0
Scarborough,74.3,47.6,26.4,36.8,52.8,52.8,72.6,40.4,72.2,61.9,2008.0,74.3,53.779999999999994
Searsmont,0.0,N/R,N/R,N/R,N/R,N/R,N/R,N/R,414.7,N/R,2016.0,414.7,207.35
Searsport,37.1,37.6,114.7,0.0,0.0,38.4,115.4,106.5,188.7,264.2,2017.0,264.2,90.26000000000002
Sebago,N/R,N/R,0.0,N/R,N/R,0.0,N/R,N/R,N/R,N/R,2010.0,0.0,0.0
Sebec,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0.0,2017.0,0.0,0.0
Seboeis Plt,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Seboomook Lake,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Sedgwick,N/R,N/R,N/R,N/R,N/R,N/R,658.4,N/R,N/R,733.5,2017.0,733.5,695.95
Shapleigh,113.7,114.1,75.0,111.8,148.7,37.2,111.1,256.8,145.6,145.6,2015.0,256.8,125.96
Sherman,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Shirley,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0.0,0.0,2016.0,0.0,0.0
Sidney,148.3,192.7,237.6,118.0,70.8,307.8,47.0,141.6,185.6,347.9,2017.0,347.9,179.73000000000002
Skowhegan,23.3,23.2,11.6,23.5,11.8,129.9,59.6,60.1,84.7,108.9,2013.0,129.9,53.660000000000004
Smithfield,0.0,0.0,0.0,0.0,0.0,N/R,0.0,N/R,0.0,588.8,2017.0,588.8,73.6
Smyrna,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Solon,N/R,0.0,0.0,0.0,N/R,0.0,0.0,N/R,0.0,0.0,2009.0,0.0,0.0
Somerville,0.0,0.0,N/R,0.0,N/R,N/R,N/R,0.0,N/R,0.0,2008.0,0.0,0.0
Sorrento,0.0,0.0,0.0,0.0,0.0,N/R,0.0,0.0,N/R,0.0,2008.0,0.0,0.0
South Aroostook,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
South Berwick,237.8,295.0,166.2,232.7,164.0,136.1,189.9,188.3,106.5,79.9,2009.0,295.0,179.64000000000001
South Bristol,N/R,N/R,0.0,0.0,N/R,N/R,N/R,N/R,N/R,N/R,2010.0,0.0,0.0
South Franklin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
South Oxford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
South Portland,41.1,40.2,12.0,35.9,43.3,50.6,23.5,45.2,34.2,53.3,2017.0,53.3,37.93000000000001
South Thomaston,N/R,391.1,577.7,824.9,574.3,386.3,N/R,N/R,506.6,633.3,2011.0,824.9,556.3142857142857
Southport,0.0,0.0,0.0,0.0,N/R,0.0,N/R,N/R,0.0,0.0,2008.0,0.0,0.0
Southwest Harbor,0.0,0.0,N/R,N/R,N/R,N/R,N/R,N/R,N/R,398.6,2017.0,398.6,132.86666666666667
Springfield,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Square Lake,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Stacyville,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/R,2008.0,0.0,0.0
Standish,132.3,110.8,81.0,181.0,139.2,257.7,118.8,77.3,105.2,67.0,2013.0,257.7,127.03
Starks,0.0,0.0,0.0,0.0,0.0,0.0,N/R,N/R,0.0,N/R,2008.0,0.0,0.0
Stetson,0.0,N/R,0.0,0.0,0.0,0.0,N/R,N/R,N/R,N/R,2008.0,0.0,0.0
Steuben,N/R,N/R,N/R,N/R,N/R,0.0,0.0,N/R,N/R,N/R,2013.0,0.0,0.0
Stockholm,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Stockton Springs,N/R,0.0,N/R,N/R,N/R,378.1,N/R,N/R,N/R,436.7,2017.0,436.7,271.59999999999997
Stoneham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Stonington,0.0,0.0,0.0,N/R,N/R,N/R,N/R,N/R,N/R,759.0,2017.0,759.0,189.75
Stow,0.0,0.0,0.0,N/R,0.0,0.0,0.0,0.0,0.0,N/R,2008.0,0.0,0.0
Strong,0.0,N/R,N/R,0.0,N/R,0.0,0.0,0.0,N/R,0.0,2008.0,0.0,0.0
Sullivan,0.0,N/R,0.0,0.0,0.0,0.0,0.0,N/R,N/R,0.0,2008.0,0.0,0.0
Sumner,0.0,0.0,0.0,0.0,0.0,N/R,N/R,0.0,N/R,N/R,2008.0,0.0,0.0
Surry,0.0,N/R,N/R,0.0,0.0,N/R,N/R,N/R,N/R,N/R,2008.0,0.0,0.0
Swans Island,0.0,0.0,N/R,N/R,0.0,N/R,N/R,N/R,N/R,N/R,2008.0,0.0,0.0
Swanville,N/R,N/R,N/R,N/R,0.0,N/R,N/R,0.0,N/R,N/R,2012.0,0.0,0.0
Sweden,0.0,0.0,0.0,N/R,N/R,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
T3 R1 NBPP,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
T32 MD BPP,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Talmadge,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
