Location,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,Max_Year,Max,Mean
Bremen,N/R,0.0,0.0,0.0,N/R,N/R,N/R,N/R,N/R,N/R,2009.0,0.0,0.0
Brewer,0.0,N/R,0.0,10.6,21.3,21.4,32.1,54.4,119.9,65.4,2016.0,119.9,36.12222222222223
Bridgewater,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Bridgton,19.2,19.0,19.2,115.0,57.8,115.7,76.0,115.8,57.4,210.6,2017.0,210.6,80.57000000000001
Brighton Plt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Bristol,72.7,181.2,108.9,257.7,147.7,333.0,701.4,599.5,406.1,147.7,2014.0,701.4,295.59000000000003
Brooklin,0.0,0.0,0.0,N/R,0.0,N/R,N/R,N/R,850.5,N/R,2016.0,850.5,170.1
Brooks,N/R,0.0,N/R,0.0,N/R,0.0,N/R,N/R,0.0,N/R,2009.0,0.0,0.0
Brooksville,0.0,0.0,0.0,N/R,0.0,N/R,N/R,N/R,N/R,N/R,2008.0,0.0,0.0
Brownfield,N/R,0.0,N/R,N/R,N/R,N/R,N/R,0.0,N/R,N/R,2009.0,0.0,0.0
Brownville,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,2016.0,0.0,0.0
Brunswick,63.8,127.7,74.0,122.5,92.5,122.0,135.9,87.0,124.8,76.8,2014.0,135.9,102.7
Buckfield,N/R,0.0,49.8,98.5,99.4,49.4,0.0,0.0,0.0,49.7,2012.0,99.4,38.53333333333333
Bucksport,40.7,100.7,121.9,203.0,242.5,220.7,263.2,204.4,163.8,368.5,2017.0,368.5,192.94
Burlington,0.0,N/R,0.0,0.0,N/R,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Burnham,0.0,0.0,0.0,0.0,0.0,N/R,0.0,N/R,N/R,N/R,2008.0,0.0,0.0
Buxton,85.5,224.4,112.0,173.8,148.1,135.2,121.2,48.3,203.2,119.5,2009.0,224.4,137.12
Byron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Calais,N/R,0.0,N/R,33.1,0.0,0.0,0.0,34.7,0.0,34.0,2015.0,34.7,12.725000000000001
Cambridge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/R,0.0,2008.0,0.0,0.0
Camden,171.1,120.4,164.9,84.5,294.3,147.6,192.3,248.1,106.4,319.1,2017.0,319.1,184.86999999999998
Canaan,47.3,0.0,44.0,44.6,0.0,132.7,88.7,89.1,0.0,312.5,2017.0,312.5,75.89
Canton,0.0,N/R,0.0,0.0,0.0,0.0,0.0,N/R,0.0,N/R,2008.0,0.0,0.0
Cape Elizabeth,100.2,99.2,99.8,100.2,123.2,121.7,187.1,121.4,88.5,99.6,2014.0,187.1,114.08999999999999
Caratunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Caribou,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,13.0,0.0,2016.0,13.0,4.333333333333333
Carmel,0.0,N/R,0.0,0.0,35.4,0.0,70.7,70.8,175.4,105.2,2016.0,175.4,50.833333333333336
Carrabassett Valley,0.0,0.0,0.0,0.0,0.0,N/R,N/R,0.0,0.0,0.0,2008.0,0.0,0.0
Carroll Plt,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Carthage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Cary Plt,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Casco,81.4,160.2,133.6,79.1,208.4,156.9,180.9,155.8,153.5,127.9,2012.0,208.4,143.77
Castine,N/R,N/R,0.0,N/R,N/R,N/R,N/R,502.1,478.5,478.5,2015.0,502.1,364.775
Castle Hill,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Caswell,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Central Aroostook,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Central Somerset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Chapman,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Charleston,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Charlotte,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
Chebeague Island,N/R,N/R,0.0,N/R,N/R,N/R,0.0,N/R,N/R,N/R,2010.0,0.0,0.0
Chelsea,180.4,0.0,110.3,331.7,221.3,111.7,74.7,188.1,263.2,150.4,2011.0,331.7,163.18
Cherryfield,N/R,0.0,N/R,0.0,0.0,N/R,0.0,N/R,0.0,N/R,2009.0,0.0,0.0
Chester,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Chesterville,0.0,0.0,N/R,0.0,0.0,0.0,N/R,0.0,0.0,N/R,2008.0,0.0,0.0
China,112.7,45.6,69.3,114.8,230.0,228.2,161.5,137.3,272.0,272.0,2016.0,272.0,164.34
Clifton,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,N/R,N/R,2008.0,0.0,0.0
Clinton,0.0,0.0,86.1,56.8,28.7,115.9,86.6,56.8,225.3,169.0,2016.0,225.3,82.52000000000001
Codyville Plt,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Columbia,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
Columbia Falls,N/R,0.0,N/R,N/R,0.0,N/R,N/R,0.0,0.0,N/R,2009.0,0.0,0.0
Connor Twp,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Cooper,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
Coplin Plt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Corinna,0.0,N/R,45.5,0.0,0.0,0.0,46.1,0.0,0.0,92.8,2017.0,92.8,20.488888888888887
Corinth,0.0,N/R,0.0,0.0,0.0,33.8,69.7,0.0,34.8,0.0,2014.0,69.7,15.366666666666667
Cornish,N/R,N/R,N/R,N/R,N/R,N/R,700.3,N/R,N/R,N/R,2014.0,700.3,700.3
Cornville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/R,N/R,2008.0,0.0,0.0
Cranberry Isles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Crawford,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
Criehaven Twp,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Crystal,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,N/R,2014.0,0.0,0.0
Cumberland,224.1,191.1,138.7,176.8,122.0,202.5,212.0,195.9,155.7,155.7,2008.0,224.1,177.45
Cushing,N/R,N/R,N/R,N/R,388.9,N/R,N/R,N/R,N/R,N/R,2012.0,388.9,388.9
Cutler,N/R,0.0,N/R,0.0,0.0,0.0,N/R,0.0,N/R,0.0,2009.0,0.0,0.0
Cyr Plt,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Dallas Plt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Damariscotta,N/R,142.1,270.5,136.9,281.7,281.7,370.7,48.0,448.0,313.6,2016.0,448.0,254.79999999999998
Danforth,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
Dayton,47.3,149.3,N/R,N/R,N/R,N/R,N/R,192.8,49.0,49.0,2015.0,192.8,97.48
Deblois,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
Dedham,0.0,0.0,N/R,N/R,0.0,N/R,N/R,0.0,N/R,N/R,2008.0,0.0,0.0
Deer Isle,0.0,N/R,0.0,N/R,353.7,1032.0,463.9,414.9,777.6,1088.6,2017.0,1088.6,516.3375
Denmark,N/R,N/R,0.0,N/R,N/R,N/R,N/R,N/R,0.0,N/R,2010.0,0.0,0.0
Dennistown Plt,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Dennysville,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
Detroit,0.0,0.0,0.0,0.0,0.0,N/R,0.0,0.0,N/R,N/R,2008.0,0.0,0.0
Dexter,27.0,N/R,0.0,0.0,0.0,78.3,0.0,0.0,53.0,106.0,2017.0,106.0,29.366666666666667
Dixfield,0.0,0.0,39.2,40.0,0.0,0.0,0.0,40.7,40.7,81.5,2017.0,81.5,24.21
