OBJECTID,GEOID10,STATEFP10,COUNTY,COUNTYFP10,COUSUBFP10,COUSUBNS10,POP10,NAME10,NAMELSAD10,LSAD10,CLASSFP10,MTFCC10,CNECTAFP10,NECTAFP10,NCTADVFP10,ALAND10,AWATER10,SQM,POPDEN10,ACRES,GlobalID,SHAPEarea,SHAPElen
153,2300369930,23,Aroostook,003,69930,00582731,386,South Aroostook,South Aroostook UT,46,Z3,G4040,,,,925118151,29240784,368,1.048913040000000,235661,{EA28D605-5FE9-44E3-B58E-EEF17CA69643},953689078.595436811447144,185329.456750752608059
154,2300373472,23,Aroostook,003,73472,00582742,594,Square Lake,Square Lake UT,46,Z3,G4040,,,,991465418,81845475,414,1.434782610000000,265016,{8F6B80CE-C216-4DAE-87CA-8698A00AB694},1072486851.420746922492981,176830.585671303357230
155,2300374405,23,Aroostook,003,74405,00582748,253,Stockholm,Stockholm town,43,T1,G4040,,,,88572286,174059,34,7.441176470000000,21914,{A40F8572-4817-466E-96A0-E2695E9A88FA},88685094.764517754316330,37771.605330993559619
156,2300902165,23,Hancock,009,02165,00582335,114,Aurora,Aurora town,43,T1,G4040,,70750,,97527721,4118255,39,2.923076920000000,25099,{47347DD7-61BC-4FB5-B51C-ADA2CC1CEAD4},101572901.833784326910973,40254.050762487131578
157,2300902865,23,Hancock,009,02865,00582341,5235,Bar Harbor,Bar Harbor town,43,T1,G4040,,,,109408207,54057368,63,83.095238100000003,40364,{6E978484-5276-4368-B807-8237D24D7230},163348707.360188156366348,68342.195625267224386
158,2300905700,23,Hancock,009,05700,00582357,2686,Blue Hill,Blue Hill town,43,T1,G4040,,,,161817156,62380878,86,31.232558139999998,55358,{E2CF805F-6A2A-4598-84FD-C996AE59F547},224025413.517881602048874,67773.860889487579698
159,2300907800,23,Hancock,009,07800,00582370,824,Brooklin,Brooklin town,43,T1,G4040,,,,46423725,60238244,41,20.097560980000001,26336,{E01A334D-695C-4A0B-8188-F786345FDBF4},106580024.513007044792175,44889.377013285695284
160,2300907975,23,Hancock,009,07975,00582372,934,Brooksville,Brooksville town,43,T1,G4040,,,,80619451,51773791,51,18.313725489999999,32689,{799DF09F-7585-4ECA-891A-CF67CECE73A0},132288600.772640153765678,59297.061818266949558
161,2300908815,23,Hancock,009,08815,00582377,4924,Bucksport,Bucksport town,43,T1,G4040,,,,133494888,12926982,56,87.928571430000005,36153,{4F88EDC4-33E5-46AF-9659-E82841F58636},146306244.195280551910400,58036.835751775208337
127,2300342450,23,Aroostook,003,42450,00582575,79,Macwahoc,Macwahoc plantation,39,T1,G4040,,,,76246559,420184,30,2.633333330000000,18931,{E924E72E-92F6-4413-ABA9-38F0907A5603},76612082.582063406705856,37165.118579248271999
