OBJECTID,GEOID10,STATEFP10,COUNTY,COUNTYFP10,COUSUBFP10,COUSUBNS10,POP10,NAME10,NAMELSAD10,LSAD10,CLASSFP10,MTFCC10,CNECTAFP10,NECTAFP10,NCTADVFP10,ALAND10,AWATER10,SQM,POPDEN10,ACRES,GlobalID,SHAPEarea,SHAPElen
179,2300920405,23,Hancock,009,20405,00582456,94,East Hancock,East Hancock UT,46,Z3,G4040,,,,1147777281,97051892,480,0.195833330000000,307391,{84F5D1BD-ECB8-48B0-85ED-7E6520D2D7B4},1243970480.446989059448242,250935.694509305845713
180,2300923200,23,Hancock,009,23200,00582465,7741,Ellsworth,Ellsworth city,25,C5,G4040,,,,205323403,37927956,94,82.351063830000001,60063,{C4206A74-9E52-439D-A9A9-D5AEE0C39300},243066855.021896332502365,71682.138367189865676
181,2300926350,23,Hancock,009,26350,00582479,1483,Franklin,Franklin town,43,T1,G4040,,,,94396745,12900350,41,36.170731709999998,26495,{62FC7682-EC73-42F6-84FE-AF63AF266F53},107221118.458096966147423,45612.603749485897424
182,2300926595,23,Hancock,009,26595,00582482,61,Frenchboro,Frenchboro town,43,T1,G4040,,,,12469929,216560002,88,0.693181820000000,56554,{ED631A44-8761-4F66-8054-964B045B6893},228864850.528122156858444,84739.529355326027144
183,2300928450,23,Hancock,009,28450,00582494,1737,Gouldsboro,Gouldsboro town,43,T1,G4040,,,,119578287,136810406,99,17.545454549999999,63313,{7737E35B-C3F0-45CE-A430-4D2C743425E6},256217738.609723597764969,104094.361815775977448
184,2301947560,23,Penobscot,019,47560,00582610,201,Mount Chase,Mount Chase town,43,T1,G4040,,,,94908949,2787600,38,5.289473680000000,24123,{72A7A127-1004-48FF-B520-2D653805DC8D},97622028.607590407133102,39900.921767464053119
185,2301948505,23,Penobscot,019,48505,00582615,1551,Newburgh,Newburgh town,43,T1,G4040,,70750,,80314293,62581,31,50.032258059999997,19846,{4A01F603-32B8-45CC-AC6B-B65D3BA459BC},80312601.216456145048141,36562.654948175681056
186,2301949065,23,Penobscot,019,49065,00582621,3275,Newport,Newport town,43,T1,G4040,,70750,,76407779,19352979,37,88.513513509999996,23644,{1D63C33B-A3B2-4A68-B503-26DC61499D9F},95684975.215913593769073,39070.257997094056918
187,2301952710,23,Penobscot,019,52710,00582635,463,North Penobscot,North Penobscot UT,46,Z3,G4040,,,,2724493707,170828188,1117,0.414503130000000,714853,{15C06101-A6DA-4E53-9C04-203FD85CADFF},2892919262.422652244567871,397367.586681859334931
188,2301955225,23,Penobscot,019,55225,00582648,7840,Old Town,Old Town city,25,C5,G4040,,70750,,100626267,11481715,43,182.325581400000004,27681,{48452C9E-AA17-4B8B-B343-1896A5D083BA},112019655.224484637379646,61617.532514072117920
236,2301546335,23,Lincoln,015,46335,00582600,69,Monhegan,Monhegan plantation,39,T1,G4040,,,,2202210,123582096,49,1.408163270000000,31058,{669693BA-9DB4-4E3A-8E31-EC5CD7070F52},125685818.306615680456161,41764.627461928888806
237,2301548645,23,Lincoln,015,48645,00582617,1752,Newcastle,Newcastle town,43,T1,G4040,,,,75243635,9109512,33,53.090909089999997,20828,{5DFA4721-E2A1-46D9-BDB9-A5523995C883},84290045.192364558577538,43515.674320765909215
238,2301549660,23,Lincoln,015,49660,00582627,1643,Nobleboro,Nobleboro town,43,T1,G4040,,,,49026931,10826148,23,71.434782609999999,14779,{1214369D-8C05-41C2-BE93-A5A08765AC4A},59807366.184083238244057,38468.033706427995639
239,2301569645,23,Lincoln,015,69645,00582729,548,Somerville,Somerville town,43,T1,G4040,710,70600,,56809502,2269695,23,23.826086960000001,14588,{B3303C9D-5CB7-4EFE-9172-C2E1326C726F},59034068.006187036633492,36208.668867295280506
240,2301570240,23,Lincoln,015,70240,00582733,892,South Bristol,South Bristol town,43,T1,G4040,,,,33940491,42937050,30,29.733333330000001,18983,{36F0FD37-FFB3-4713-B42C-C94573B961D7},76819759.608714237809181,58033.254819301582756
241,2301571955,23,Lincoln,015,71955,00582737,606,Southport,Southport town,43,T1,G4040,,,,13930571,46052612,23,26.347826090000002,14811,{0B6DB6DD-B4EC-436D-A0DB-B436705EAE03},59939381.101651839911938,36855.207098738530476
242,2301579550,23,Lincoln,015,79550,00582786,5075,Waldoboro,Waldoboro town,43,T1,G4040,,,,185179527,19073718,79,64.240506330000002,50433,{463EF53B-C4E5-4ED6-A366-78BA3456FBEC},204094309.909123837947845,71130.868609538680175
243,2301584140,23,Lincoln,015,84140,00582810,718,Westport Island,Westport Island town,43,T1,G4040,,72250,,22816067,14058556,14,51.285714290000001,9105,{281A3D1E-8E09-4239-86AB-59338DE9FA35},36847998.258824996650219,36992.235624836946954
252,2303100275,23,York,031,00275,00582315,2447,Acton,Acton town,43,T1,G4040,,,,97691918,8784146,41,59.682926830000000,26305,{444DDB2B-3786-4B6B-B88D-FB8279B80E81},106453993.971018880605698,53560.114455176335468
253,2303100730,23,York,031,00730,00582319,3019,Alfred,Alfred town,43,T1,G4040,775,76750,,70573221,1723072,28,107.821428569999995,17859,{7B11C845-4071-4DDB-B874-4D5DF97E325D},72273316.417410075664520,50802.510325865587220
254,2303101605,23,York,031,01605,00582330,4022,Arundel,Arundel town,43,T1,G4040,775,76750,,61821117,67050,24,167.583333329999988,15286,{47C2C346-3DED-4198-9702-9E2606AD3F6A},61862014.735605917870998,46732.639967910494306
255,2303104720,23,York,031,04720,00582351,7246,Berwick,Berwick town,43,T1,G4040,,77350,,97164109,875282,38,190.684210530000001,24220,{11EB9E51-EB47-4884-A135-001B9734308F},98014943.466541036963463,48549.097659313360055
256,2303104860,23,York,031,04860,00582353,21277,Biddeford,Biddeford city,25,C5,G4040,775,76750,,77926014,75093192,59,360.627118639999992,37793,{99A76A5D-E0F9-4DAC-BDDC-C9BB0D6FFE23},152945119.555992811918259,75372.036145159625448
257,2303109410,23,York,031,09410,00582380,8034,Buxton,Buxton town,43,T1,G4040,775,76750,,104955800,1834561,41,195.951219509999987,26377,{44C98746-818C-404C-B296-B74C4E7F8843},106745354.756880864500999,50433.706005360596464
258,2303114485,23,York,031,14485,00582421,1403,Cornish,Cornish town,43,T1,G4040,775,76750,,57434668,506347,22,63.772727269999997,14314,{4E0E9947-D841-40EA-BBDD-43FCAB4B7998},57924926.236056320369244,33839.409154334476625
259,2303116725,23,York,031,16725,00582434,1965,Dayton,Dayton town,43,T1,G4040,775,76750,,46330403,1320681,18,109.166666669999998,11770,{56219BEC-958C-4DB4-ABB1-5DC647A14844},47631897.628298930823803,34559.161532217214699
260,2303122955,23,York,031,22955,00582464,6204,Eliot,Eliot town,43,T1,G4040,715,76900,,51236457,3999811,21,295.428571429999977,13645,{9194A204-8F09-4530-A345-27A87BA8CB69},55220760.540340803563595,32480.528428405934392
261,2303133665,23,York,031,33665,00582523,4281,Hollis,Hollis town,43,T1,G4040,775,76750,,82913900,2542498,33,129.727272730000010,21109,{EB2428CE-F2D3-47F6-A490-913117EA30F5},85424149.929008245468140,44391.447297940147109
262,2303136535,23,York,031,36535,00582539,10798,Kennebunk,Kennebunk town,43,T1,G4040,775,76750,,90772480,22835757,44,245.409090910000003,28062,{0DAFDDDB-881D-497D-A9E5-7C8E94ACEE2F},113561827.678970620036125,69100.595465084406896
263,2303136745,23,York,031,36745,00582540,3474,Kennebunkport,Kennebunkport town,43,T1,G4040,775,76750,,53151696,74659162,49,70.897959180000001,31568,{32D579FF-6A16-46D2-BB3B-C6F91154A575},127750776.815901845693588,51623.881162768593640
264,2303137270,23,York,031,37270,00582544,9490,Kittery,Kittery town,43,T1,G4040,715,76900,,46052564,148985353,75,126.533333330000005,48177,{F1C1DB96-F1FF-487D-8EF1-02B8C6A99B44},194967176.704184561967850,73177.195629788009683
265,2303138425,23,York,031,38425,00582550,6031,Lebanon,Lebanon town,43,T1,G4040,,77350,,142454022,2137322,56,107.696428569999995,35722,{1B35CA8E-320B-489C-9363-2DA149390990},144560932.170180618762970,60612.303946878862916
266,2303139195,23,York,031,39195,00582556,2892,Limerick,Limerick town,43,T1,G4040,775,76750,,70286511,2864861,28,103.285714290000001,18071,{42D35765-08C9-44F4-B8C7-76190625A654},73130160.467571794986725,43731.696634955922491
267,2303139405,23,York,031,39405,00582558,3713,Limington,Limington town,43,T1,G4040,775,76750,,108572218,3534452,43,86.348837209999999,27693,{48727653-0F4A-4EFF-91B0-2B69408092E6},112068856.744154855608940,55019.470698436423845
268,2303141750,23,York,031,41750,00582572,4344,Lyman,Lyman town,43,T1,G4040,775,76750,,100987773,3879981,40,108.599999999999994,25904,{A1940127-F0D9-4B45-96B8-DC611D81917E},104829424.521833926439285,43269.495953376223042
269,2303148750,23,York,031,48750,00582618,1522,Newfield,Newfield town,43,T1,G4040,,,,83643725,2953454,33,46.121212120000003,21394,{74D0CB59-B6C6-41B7-A452-F1C48C56FCA7},86578218.317946374416351,43386.531287218072976
270,2303150325,23,York,031,50325,00582628,4576,North Berwick,North Berwick town,43,T1,G4040,,,,98458142,367786,38,120.421052630000005,24413,{DBABDE01-1622-4FDA-BC85-CC0E49A7A5C0},98797373.073899358510971,42536.989685693733918
271,2303154980,23,York,031,54980,00582646,892,Ogunquit,Ogunquit town,43,T1,G4040,,,,10822920,28661690,15,59.466666670000002,9753,{0233C149-E36E-46E9-8614-2485AA29714F},39468757.306076802313328,34235.743044110677147
272,2303155085,23,York,031,55085,00582647,8624,Old Orchard Beach,Old Orchard Beach town,43,T1,G4040,775,76750,,19255127,39112042,23,374.956521740000028,14415,{9119B25C-0C27-41FA-B134-5AF0F6339547},58337354.414499200880527,42217.219275989111338
273,2303156870,23,York,031,56870,00582662,1898,Parsonsfield,Parsonsfield town,43,T1,G4040,775,76750,,152518788,2651691,60,31.633333329999999,38335,{3B42590A-906B-4C23-B44A-4983B8A38F92},155136843.301905274391174,52913.019004835041414
274,2303164675,23,York,031,64675,00582705,18482,Saco,Saco city,25,C5,G4040,775,76750,,99620114,37024831,53,348.716981130000022,33750,{3FFC3E49-5A45-4DF4-AAA6-D30C41C5A1CF},136580274.060455352067947,80974.016529478700249
275,2303165760,23,York,031,65760,00582712,20798,Sanford,Sanford town,43,T1,G4040,775,77950,,123755891,2518077,49,424.448979590000022,31193,{3DDE5E81-0B66-41E0-BAAC-37A56913B6F4},126235882.590286821126938,64028.673893960251007
276,2303167475,23,York,031,67475,00582722,2668,Shapleigh,Shapleigh town,43,T1,G4040,775,77950,,100355424,6320470,41,65.073170730000001,26353,{D7B6E0EF-2ABA-42E0-9633-2D21DB55B759},106648410.278421193361282,52331.268178918369813
277,2303170030,23,York,031,70030,00582732,7220,South Berwick,South Berwick town,43,T1,G4040,,77350,,83225304,1313644,33,218.787878790000008,20884,{6427CF1F-D992-4818-A3E0-B16CA772ED2A},84513233.552154153585434,43587.737615061640099
278,2303180530,23,York,031,80530,00582793,7693,Waterboro,Waterboro town,43,T1,G4040,775,76750,,143299412,4741782,57,134.964912279999993,36570,{2DCE98C9-C722-4834-AF3F-4E0C85CF092B},147993833.840415388345718,57704.161669741057267
279,2303181475,23,York,031,81475,00582799,9589,Wells,Wells town,43,T1,G4040,,,,149060403,41588365,74,129.581081079999990,47092,{C9D0CCC9-C699-4B90-9076-601168D0169A},190576651.804366558790207,62281.531379358006234
280,2303187985,23,York,031,87985,00582832,12529,York,York town,43,T1,G4040,,,,141594956,199711569,132,94.916666669999998,84305,{04426F0B-4990-4189-BF93-0F87756352A7},341173296.692945897579193,90118.620111363881733
281,2302776610,23,Waldo,027,76610,00582764,890,Thorndike,Thorndike town,43,T1,G4040,,,,65410955,0,25,35.600000000000001,16151,{92609F5E-85FB-4F02-B703-9B3828E0BA89},65359216.542662322521210,32404.288542031710676
282,2302777625,23,Waldo,027,77625,00582769,1030,Troy,Troy town,43,T1,G4040,,,,90451120,2598957,36,28.611111110000000,22975,{C1551AAA-AF46-4824-8B94-40CD7980F7B6},92976596.342342317104340,40078.658048649645934
244,2301585010,23,Lincoln,015,85010,00582811,2300,Whitefield,Whitefield town,43,T1,G4040,710,70600,,121252291,1787861,47,48.936170210000000,30381,{98C377A5-58B4-436D-832E-456E2C3C1772},122949008.453251838684082,49123.338679325475823
245,2301587075,23,Lincoln,015,87075,00582825,3732,Wiscasset,Wiscasset town,43,T1,G4040,,72250,,63796964,7843147,28,133.285714289999987,17690,{D74E3F90-A878-4919-8860-6E85D642996A},71588184.802705079317093,50722.708349606538832
246,2302756450,23,Waldo,027,56450,00582659,1535,Palermo,Palermo town,43,T1,G4040,710,70600,,105047942,7796242,44,34.886363639999999,27863,{1FCAA5FF-D9E7-4054-BF15-6EA1706ED69A},112757163.379712641239166,46633.304148100498423
247,2302761210,23,Waldo,027,61210,00582688,709,Prospect,Prospect town,43,T1,G4040,,,,46853415,5474164,20,35.450000000000003,12920,{C898C584-B71C-4D22-B10D-DA368033AB76},52285882.684922240674496,37125.429484405613039
248,2302766565,23,Waldo,027,66565,00582715,1392,Searsmont,Searsmont town,43,T1,G4040,,,,97734352,3663495,39,35.692307690000000,25036,{DCBE090D-5155-406D-BDAF-6A2F5363B2A9},101317360.288849279284477,42250.407343995269912
249,2302766635,23,Waldo,027,66635,00582716,2615,Searsport,Searsport town,43,T1,G4040,,,,74205514,35950819,42,62.261904760000000,27198,{088CDA2D-D5A0-4D4E-81A6-CA6F0ED0EA40},110068341.722678244113922,53315.649853209455614
250,2302774475,23,Waldo,027,74475,00582749,1591,Stockton Springs,Stockton Springs town,43,T1,G4040,,,,50860922,26385594,30,53.033333329999998,19073,{091495A6-71CE-4015-B3AF-9299D2F563C6},77185037.856479287147522,44793.699462680655415
251,2302775525,23,Waldo,027,75525,00582758,1388,Swanville,Swanville town,43,T1,G4040,,,,51085721,4963576,22,63.090909089999997,13839,{106D69C8-20E5-4942-8FFF-E541CF1F0251},56004476.613046281039715,35380.877522609524021
220,2300977345,23,Hancock,009,77345,00582767,1563,Tremont,Tremont town,43,T1,G4040,,,,43595811,92028182,52,30.057692310000000,33488,{7F83B0BA-B1E1-4EC0-8602-E2718268E3C5},135522984.602719873189926,56543.065267397272692
221,2300977415,23,Hancock,009,77415,00582768,1481,Trenton,Trenton town,43,T1,G4040,,,,47066732,26459786,28,52.892857139999997,18155,{19F633C8-B082-4716-87C3-C16E39C01A69},73471849.961718395352364,40983.977585255044687
222,2301981055,23,Penobscot,019,81055,00582797,85,Webster,Webster plantation,39,T1,G4040,,,,94919087,175945,37,2.297297300000000,23482,{23CB1DAF-3D33-4E99-8374-2A57C1FCF1A0},95028348.894413441419601,39972.824245982519642
223,2301985230,23,Penobscot,019,85230,00582813,5,Whitney,Whitney UT,46,Z3,G4040,,,,28268930,18639447,18,0.277777780000000,11584,{B436489B-2DE1-4A6E-8831-CFD473FF0691},46878179.595665320754051,28913.609057864039642
224,2301986305,23,Penobscot,019,86305,00582819,407,Winn,Winn town,43,T1,G4040,,,,113177087,352009,44,9.250000000000000,28033,{AC8EDEB1-D34D-4841-A92F-E2052C6C01DB},113445996.253229767084122,44187.762624550108740
225,2301987390,23,Penobscot,019,87390,00582828,248,Woodville,Woodville town,43,T1,G4040,,,,110677054,0,43,5.767441860000000,27328,{09189B87-22D7-454A-86FC-A1D18F8CE147},110593594.235710144042969,41242.350255646910227
226,2300978925,23,Hancock,009,78925,00582780,544,Verona Island,Verona Island town,43,T1,G4040,,,,16156072,6541842,9,60.444444439999998,5604,{EC013F0E-5754-451A-89D5-593418E8200A},22679927.483522735536098,20207.893349430913077
227,2300980040,23,Hancock,009,80040,00582789,353,Waltham,Waltham town,43,T1,G4040,,,,76851703,8351079,33,10.696969700000000,21039,{650A63CE-62EB-48B5-BBB6-505EC68DDB96},85140426.685535565018654,47267.701155910064699
228,2300986655,23,Hancock,009,86655,00582821,516,Winter Harbor,Winter Harbor town,43,T1,G4040,,,,37192216,141834165,69,7.478260870000000,44208,{CF162D10-CC3D-420B-B713-1040CD60741A},178904995.698804795742035,58982.016687407958671
229,2300901185,23,Hancock,009,01185,00582323,265,Amherst,Amherst town,43,T1,G4040,,70750,,101824621,796622,40,6.625000000000000,25339,{59633CC7-5177-40B4-B5A5-008E44214569},102544830.093759879469872,40514.117852977178700
230,2301516235,23,Lincoln,015,16235,00582432,2218,Damariscotta,Damariscotta town,43,T1,G4040,,,,32162775,5941549,15,147.866666670000001,9409,{4F80B1F1-A27C-4474-9D59-C5E82BC2FD6E},38075310.813140802085400,27041.235671338094107
231,2301518475,23,Lincoln,015,18475,00582446,1672,Dresden,Dresden town,43,T1,G4040,,72250,,78871354,7150752,33,50.666666669999998,21241,{F7C89B0F-956F-4453-B379-EC1D2E0FDC02},85960728.611452370882034,42118.022637943431619
232,2301522675,23,Lincoln,015,22675,00582462,1249,Edgecomb,Edgecomb town,43,T1,G4040,,,,46808031,7015197,21,59.476190480000000,13290,{0B4DAEF3-4DB7-45D4-B99B-5AECA183E49B},53783487.747089996933937,34097.424846515546960
233,2301532715,23,Lincoln,015,32715,00582518,1,Hibberts,Hibberts gore,31,Z1,G4040,,,,1930669,18014,1,1.000000000000000,481,{FB3116EA-C8CA-4335-9B02-EC3FC1C33625},1947181.361700640060008,8671.199421463596082
234,2301535695,23,Lincoln,015,35695,00582535,2427,Jefferson,Jefferson town,43,T1,G4040,,,,136154495,15558069,59,41.135593219999997,37460,{A7753119-2750-48B8-BD63-D120FEF90DC0},151597419.093167513608932,59965.932745749938476
235,2301541280,23,Lincoln,015,41280,01954727,0,Louds Island,Louds Island UT,46,Z3,G4040,,,,4046949,34744111,15,0.000000000000000,9578,{07FD4010-7D33-4036-A62D-E087EE10B84F},38761116.595843516290188,26132.656422175143234
307,2302524320,23,Somerset,025,24320,00582471,6735,Fairfield,Fairfield town,43,T1,G4040,710,78850,,139220477,2149697,55,122.454545449999998,34908,{8CE401B5-9472-42E4-BD1D-B0C9927C786E},141267124.626790732145309,51182.577716025029076
308,2302531355,23,Somerset,025,31355,00579051,939,Harmony,Harmony town,43,T1,G4040,,,,100142380,4284702,40,23.475000000000001,25785,{386E97F2-98D3-482A-BD5C-787503736093},104348297.128473713994026,40804.042857059605012
309,2302531740,23,Somerset,025,31740,00579050,1782,Hartland,Hartland town,43,T1,G4040,,,,96100494,15153096,43,41.441860470000002,27470,{C2DA6E99-D368-4AF7-8D5B-07E0A70E097A},111169263.613720044493675,58781.351424275184399
310,2302532895,23,Somerset,025,32895,00582519,73,Highland,Highland plantation,39,T1,G4040,,,,109260072,60005,42,1.738095240000000,26997,{0790827C-3A87-4293-A598-508C459D4431},109252139.638456806540489,41801.310706825330271
311,2300734820,23,Franklin,007,34820,00582528,929,Industry,Industry town,43,T1,G4040,,,,77041454,3187178,31,29.967741940000000,19812,{975D86EB-C1B9-4463-9955-8E0B40FA15E8},80178105.089182958006859,45059.666564605649910
312,2300735625,23,Franklin,007,35625,00582534,4851,Jay,Jay town,43,T1,G4040,,,,125290110,2130894,49,99.000000000000000,31468,{7EC7EB19-BBD0-40CE-825B-D2F6776B8576},127348051.032944753766060,48974.467295789414493
313,2300737025,23,Franklin,007,37025,00582541,997,Kingfield,Kingfield town,43,T1,G4040,,,,111686972,413918,43,23.186046510000001,27684,{9040D62B-BB1F-4DAB-865F-7CAD749D5450},112035530.439003527164459,42283.535896237830457
314,2300749345,23,Franklin,007,49345,00582624,1407,New Sharon,New Sharon town,43,T1,G4040,,,,119617769,1659888,47,29.936170210000000,29949,{6314079B-86FD-4430-AF85-EA676D677442},121199799.383632794022560,53230.748036819961271
315,2300749520,23,Franklin,007,49520,00582626,757,New Vineyard,New Vineyard town,43,T1,G4040,,,,92558683,1244471,36,21.027777780000001,23165,{AF18527D-373D-4451-BBE9-321856D79BDC},93746000.297326326370239,50985.414118604399846
316,2300751400,23,Franklin,007,51400,00582632,61,North Franklin,North Franklin UT,46,Z3,G4040,,,,1291794861,22452284,507,0.120315580000000,324779,{4966AAD2-F765-41BA-9A6B-387C4FADD43D},1314339761.689228773117065,217453.074195258959662
317,2300758445,23,Franklin,007,58445,00582674,1028,Phillips,Phillips town,43,T1,G4040,,,,131585065,466520,51,20.156862749999998,32614,{0003780D-9EF7-4032-97EC-73342FCE83CA},131984811.422427207231522,55171.236054045664787
318,2300761875,23,Franklin,007,61875,00582691,189,Rangeley,Rangeley plantation,39,T1,G4040,,,,105601847,17437236,47,4.021276600000000,30393,{407F8B67-089F-4927-8121-E98E162103DA},122995342.177537515759468,45114.618701023682661
319,2302535345,23,Somerset,025,35345,00582532,862,Jackman,Jackman town,43,T1,G4040,,,,106860271,3013388,42,20.523809520000000,27134,{D9D209CA-21CC-4705-8C64-9FFA79F112E3},109809103.972132042050362,43077.388536557176849
320,2302542660,23,Somerset,025,42660,00579027,4855,Madison,Madison town,43,T1,G4040,,,,134368258,7623563,55,88.272727270000004,35062,{4B5C9BA6-5208-4B99-B7B1-B0D473DABB7A},141892450.710749477148056,54600.736767872593191
321,2302545110,23,Somerset,025,45110,00582591,664,Mercer,Mercer town,43,T1,G4040,,,,69175037,1677413,27,24.592592589999999,17496,{D09369AF-10DD-48AA-A072-A235BA510949},70804843.962188959121704,38766.880251932772808
322,2302547140,23,Somerset,025,47140,00582606,218,Moose River,Moose River town,43,T1,G4040,,,,103782964,1244164,41,5.317073170000000,25938,{144A46AE-300E-4377-907A-BA3D0082B6BB},104966248.443656399846077,41161.402414175914600
323,2302547455,23,Somerset,025,47455,00582609,512,Moscow,Moscow town,43,T1,G4040,,,,118930670,5286661,48,10.666666670000000,30674,{B0A54BE5-6424-4562-AC37-5E839C567107},124132374.339025184512138,44960.101548920574714
324,2302549205,23,Somerset,025,49205,00582622,718,New Portland,New Portland town,43,T1,G4040,,,,113650031,911234,44,16.318181820000000,28291,{97B6F602-5E4F-4A4A-B232-C05C2E747DED},114489868.867904633283615,44658.589162289536034
325,2302549835,23,Somerset,025,49835,00579026,3367,Norridgewock,Norridgewock town,43,T1,G4040,,,,129371046,3255601,51,66.019607840000006,32750,{9C2781BF-04CA-44E0-93FE-28787A7E418D},132534128.057272881269455,54244.117095179579337
326,2302551114,23,Somerset,025,51114,00582630,390,Northeast Somerset,Northeast Somerset UT,46,Z3,G4040,,,,1252481508,93254778,519,0.751445090000000,332310,{B10D3C8F-FEE5-4B31-80D5-19261879CBBC},1344817386.591244459152222,250993.282593420502963
327,2302553636,23,Somerset,025,53636,00582641,62,Northwest Somerset,Northwest Somerset UT,46,Z3,G4040,,,,1701087964,133537960,708,0.087570620000000,453093,{719E8F03-6655-4911-81B9-EF2FC38F8BD9},1833611289.629722356796265,222293.036503896582872
328,2302556520,23,Somerset,025,56520,00582660,1986,Palmyra,Palmyra town,43,T1,G4040,,,,104009830,3313019,41,48.439024390000000,26499,{8DFF5D0A-21B5-42A3-8383-87CAE80B25D4},107239209.733802482485771,42542.835264549044950
329,2302559005,23,Somerset,025,59005,00582676,4215,Pittsfield,Pittsfield town,43,T1,G4040,,,,124781225,1385703,49,86.020408160000002,31152,{7F797484-53F2-4C3B-A9D2-38AC46BABCCE},126069790.724097162485123,58923.169522638141643
330,2302559705,23,Somerset,025,59705,00582678,93,Pleasant Ridge,Pleasant Ridge plantation,39,T1,G4040,,,,57285336,6343212,25,3.720000000000000,15713,{2D852912-EC8B-4B95-844F-ECAEC222CD11},63586927.788981117308140,36432.270914286222251
331,2302562995,23,Somerset,025,62995,00582696,488,Ripley,Ripley town,43,T1,G4040,,,,63737442,1033641,25,19.520000000000000,15993,{B2C1EE31-34FE-42E9-B71C-E3EC398A3CE2},64720849.995370797812939,43013.340885225719830
332,2302564850,23,Somerset,025,64850,00582707,2005,St. Albans,St. Albans town,43,T1,G4040,,,,116007384,5979684,47,42.659574470000003,30120,{5BF77222-DFC1-487D-BB3D-1CBC97E0BE30},121892405.202742457389832,45116.257008930122538
333,2302567238,23,Somerset,025,67238,00582720,48,Seboomook Lake,Seboomook Lake UT,46,Z3,G4040,,,,3628916590,87314057,1434,0.033472800000000,917714,{92F8AE9E-FE7B-4BB2-9956-E622481718A1},3713873433.061861991882324,396856.404048950178549
334,2302568910,23,Somerset,025,68910,00579029,8589,Skowhegan,Skowhegan town,43,T1,G4040,,,,152406761,4189844,60,143.150000000000006,38667,{9BEBD67A-B043-4F23-B8E2-EE95B9CEA4CD},156482100.525453031063080,57135.166179724947142
335,2302569155,23,Somerset,025,69155,00582726,1033,Smithfield,Smithfield town,43,T1,G4040,,,,51535708,12588754,25,41.320000000000000,15834,{77CF8CBE-65EB-4068-9C10-71303FAE8E10},64079660.589191839098930,38586.993010498074000
336,2302569505,23,Somerset,025,69505,00582728,1053,Solon,Solon town,43,T1,G4040,,,,102688395,2827138,41,25.682926830000000,26055,{F8183937-DD92-42D1-98D1-D945BF0232C2},105441422.979931116104126,43367.266538955977012
337,2302573845,23,Somerset,025,73845,00582745,640,Starks,Starks town,43,T1,G4040,,,,81808095,1399864,32,20.000000000000000,20547,{6C3892C3-13EB-455E-97D1-EA1A349DAA3A},83153049.285182237625122,45921.018580305957585
338,2301701325,23,Oxford,017,01325,00582325,821,Andover,Andover town,43,T1,G4040,,,,148710813,103617,57,14.403508770000000,36761,{BAA05767-C9D2-49AB-86C2-85B3CC142FC2},148766323.962964653968811,49041.343022413086146
339,2301704825,23,Oxford,017,04825,00582352,2607,Bethel,Bethel town,43,T1,G4040,,,,167324644,3385968,66,39.500000000000000,42170,{ACB0E4A5-283B-4050-9CB2-8656A53C95C3},170657549.321269273757935,56116.123648559965659
340,2301708150,23,Oxford,017,08150,00582373,1597,Brownfield,Brownfield town,43,T1,G4040,,,,115175447,2547322,45,35.488888889999998,29083,{87217FCD-C527-4115-B162-F4D1F1A13882},117697166.160776078701019,52669.766460349965200
341,2300761840,23,Franklin,007,61840,00582690,1168,Rangeley,Rangeley town,43,T1,G4040,,,,107422072,36611964,56,20.857142860000000,35579,{77588584-9C4B-4FCA-9F88-E3CE82089A6F},143984527.779724806547165,48505.288866951690579
342,2300765655,23,Franklin,007,65655,00582711,133,Sandy River,Sandy River plantation,39,T1,G4040,,,,88304523,3048921,35,3.800000000000000,22564,{756841C4-F194-40B6-A408-6E810F30FC23},91313360.860154002904892,38229.033379752094334
343,2300770760,23,Franklin,007,70760,00582735,69,South Franklin,South Franklin UT,46,Z3,G4040,,,,32159281,91329,12,5.750000000000000,7965,{FF6F6CAD-DE40-428C-8FAF-00223E70A223},32233972.978615198284388,26648.773791005278326
344,2300774825,23,Franklin,007,74825,00582753,1213,Strong,Strong town,43,T1,G4040,,,,73423565,1538286,29,41.827586210000000,18513,{21F2F882-7C2C-4E43-A92F-5FCAEACC4B3D},74918637.863866761326790,42131.338023444943246
345,2300775980,23,Franklin,007,75980,00582761,528,Temple,Temple town,43,T1,G4040,,,,92013223,590899,36,14.666666670000000,22870,{70B44885-DA9A-4B97-BAF2-0F02662D1580},92553510.435036644339561,39986.943114746194624
346,2300781300,23,Franklin,007,81300,00582798,419,Weld,Weld town,43,T1,G4040,,,,154108036,8727089,63,6.650793650000000,40216,{A9DD0BE3-84EE-424C-94EA-C8BD47A339EA},162750772.988966763019562,52382.074520198693790
347,2300782235,23,Franklin,007,82235,00582803,0,West Central Franklin,West Central Franklin UT,46,Z3,G4040,,,,269125040,1915247,105,0.000000000000000,66950,{F5CA167A-C66A-4C92-9EAF-54512A7E2CE9},270937617.223629415035248,83655.279200606077211
348,2300785850,23,Franklin,007,85850,00582816,4116,Wilton,Wilton town,43,T1,G4040,,,,106862176,4046798,43,95.720930229999993,27391,{EE3B07A0-3879-4A5C-9311-D003FC386D70},110846970.522856295108795,45197.020018469534989
349,2300787680,23,Franklin,007,87680,00582830,88,Wyman,Wyman UT,46,Z3,G4040,,,,52679363,230350,20,4.400000000000000,13067,{98C7289F-EE89-493D-A33E-B7106B93011B},52882194.741546556353569,30234.514619393354224
